date,Brautkleid Schneiderei,isPartial
2018-01-07,40,False
2018-01-14,39,False
2018-01-21,0,False
2018-01-28,40,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,0,False
2018-02-25,79,False
2018-03-04,0,False
2018-03-11,40,False
2018-03-18,0,False
2018-03-25,43,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,43,False
2018-05-06,43,False
2018-05-13,40,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,40,False
2018-06-24,41,False
2018-07-01,0,False
2018-07-08,82,False
2018-07-15,42,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,41,False
2018-08-19,42,False
2018-08-26,42,False
2018-09-02,0,False
2018-09-09,41,False
2018-09-16,0,False
2018-09-23,84,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,81,False
2018-10-21,40,False
2018-10-28,40,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,39,False
2018-12-02,39,False
2018-12-09,40,False
2018-12-16,41,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,37,False
2019-01-20,37,False
2019-01-27,36,False
2019-02-03,74,False
2019-02-10,38,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,57,False
2019-03-10,74,False
2019-03-17,39,False
2019-03-24,39,False
2019-03-31,39,False
2019-04-07,58,False
2019-04-14,0,False
2019-04-21,61,False
2019-04-28,38,False
2019-05-05,37,False
2019-05-12,39,False
2019-05-19,77,False
2019-05-26,39,False
2019-06-02,57,False
2019-06-09,0,False
2019-06-16,39,False
2019-06-23,39,False
2019-06-30,78,False
2019-07-07,77,False
2019-07-14,0,False
2019-07-21,42,False
2019-07-28,0,False
2019-08-04,41,False
2019-08-11,0,False
2019-08-18,59,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,77,False
2019-09-15,38,False
2019-09-22,38,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,37,False
2019-10-20,36,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,36,False
2019-11-24,35,False
2019-12-01,0,False
2019-12-08,36,False
2019-12-15,37,False
2019-12-22,0,False
2019-12-29,38,False
2020-01-05,35,False
2020-01-12,0,False
2020-01-19,34,False
2020-01-26,34,False
2020-02-02,100,False
2020-02-09,50,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,34,False
2020-03-08,32,False
2020-03-15,31,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,34,False
2020-04-12,0,True
