date,bomboniere matrimonio,isPartial
2018-01-07,72,False
2018-01-14,59,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,68,False
2018-02-11,0,False
2018-02-18,45,False
2018-02-25,56,False
2018-03-04,46,False
2018-03-11,24,False
2018-03-18,46,False
2018-03-25,0,False
2018-04-01,53,False
2018-04-08,61,False
2018-04-15,72,False
2018-04-22,0,False
2018-04-29,25,False
2018-05-06,48,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,26,False
2018-06-03,100,False
2018-06-10,23,False
2018-06-17,47,False
2018-06-24,23,False
2018-07-01,25,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,55,False
2018-07-29,42,False
2018-08-05,20,False
2018-08-12,17,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,47,False
2018-09-09,38,False
2018-09-16,51,False
2018-09-23,0,False
2018-09-30,48,False
2018-10-07,25,False
2018-10-14,50,False
2018-10-21,0,False
2018-10-28,48,False
2018-11-04,24,False
2018-11-11,38,False
2018-11-18,25,False
2018-11-25,24,False
2018-12-02,52,False
2018-12-09,25,False
2018-12-16,53,False
2018-12-23,27,False
2018-12-30,38,False
2019-01-06,37,False
2019-01-13,62,False
2019-01-20,58,False
2019-01-27,70,False
2019-02-03,59,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,48,False
2019-03-03,76,False
2019-03-10,48,False
2019-03-17,75,False
2019-03-24,25,False
2019-03-31,24,False
2019-04-07,75,False
2019-04-14,0,False
2019-04-21,51,False
2019-04-28,37,False
2019-05-05,49,False
2019-05-12,37,False
2019-05-19,37,False
2019-05-26,69,False
2019-06-02,37,False
2019-06-09,26,False
2019-06-16,50,False
2019-06-23,37,False
2019-06-30,25,False
2019-07-07,49,False
2019-07-14,23,False
2019-07-21,48,False
2019-07-28,22,False
2019-08-04,41,False
2019-08-11,20,False
2019-08-18,19,False
2019-08-25,29,False
2019-09-01,44,False
2019-09-08,25,False
2019-09-15,75,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,50,False
2019-10-13,39,False
2019-10-20,62,False
2019-10-27,51,False
2019-11-03,0,False
2019-11-10,50,False
2019-11-17,50,False
2019-11-24,24,False
2019-12-01,0,False
2019-12-08,51,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,25,False
2020-01-05,48,False
2020-01-12,45,False
2020-01-19,23,False
2020-01-26,67,False
2020-02-02,44,False
2020-02-09,58,False
2020-02-16,23,False
2020-02-23,64,False
2020-03-01,21,False
2020-03-08,19,False
2020-03-15,37,False
2020-03-22,17,False
2020-03-29,18,False
2020-04-05,38,False
2020-04-12,0,False
2020-04-19,18,False
2020-04-26,0,True
