date,bomboniere matrimonio,isPartial
2018-01-07,99,False
2018-01-14,100,False
2018-01-21,20,False
2018-01-28,49,False
2018-02-04,67,False
2018-02-11,88,False
2018-02-18,19,False
2018-02-25,37,False
2018-03-04,39,False
2018-03-11,98,False
2018-03-18,19,False
2018-03-25,21,False
2018-04-01,63,False
2018-04-08,40,False
2018-04-15,40,False
2018-04-22,21,False
2018-04-29,31,False
2018-05-06,30,False
2018-05-13,20,False
2018-05-20,40,False
2018-05-27,21,False
2018-06-03,31,False
2018-06-10,47,False
2018-06-17,48,False
2018-06-24,19,False
2018-07-01,59,False
2018-07-08,0,False
2018-07-15,49,False
2018-07-22,28,False
2018-07-29,19,False
2018-08-05,37,False
2018-08-12,50,False
2018-08-19,17,False
2018-08-26,52,False
2018-09-02,46,False
2018-09-09,58,False
2018-09-16,78,False
2018-09-23,59,False
2018-09-30,39,False
2018-10-07,52,False
2018-10-14,31,False
2018-10-21,0,False
2018-10-28,40,False
2018-11-04,69,False
2018-11-11,0,False
2018-11-18,20,False
2018-11-25,30,False
2018-12-02,42,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,39,False
2019-01-06,77,False
2019-01-13,58,False
2019-01-20,54,False
2019-01-27,36,False
2019-02-03,26,False
2019-02-10,53,False
2019-02-17,19,False
2019-02-24,36,False
2019-03-03,39,False
2019-03-10,37,False
2019-03-17,19,False
2019-03-24,46,False
2019-03-31,55,False
2019-04-07,18,False
2019-04-14,19,False
2019-04-21,97,False
2019-04-28,44,False
2019-05-05,36,False
2019-05-12,27,False
2019-05-19,54,False
2019-05-26,69,False
2019-06-02,28,False
2019-06-09,19,False
2019-06-16,19,False
2019-06-23,28,False
2019-06-30,66,False
2019-07-07,35,False
2019-07-14,27,False
2019-07-21,46,False
2019-07-28,88,False
2019-08-04,18,False
2019-08-11,54,False
2019-08-18,44,False
2019-08-25,17,False
2019-09-01,17,False
2019-09-08,25,False
2019-09-15,59,False
2019-09-22,25,False
2019-09-29,35,False
2019-10-06,44,False
2019-10-13,36,False
2019-10-20,17,False
2019-10-27,35,False
2019-11-03,25,False
2019-11-10,68,False
2019-11-17,43,False
2019-11-24,17,False
2019-12-01,0,False
2019-12-08,26,False
2019-12-15,17,False
2019-12-22,92,False
2019-12-29,18,False
2020-01-05,34,False
2020-01-12,81,False
2020-01-19,50,False
2020-01-26,16,False
2020-02-02,31,False
2020-02-09,33,False
2020-02-16,73,False
2020-02-23,39,False
2020-03-01,46,False
2020-03-08,14,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,13,False
2020-04-05,14,False
2020-04-12,0,False
2020-04-19,26,False
2020-04-26,0,True
