date,bomboniere matrimonio,isPartial
2018-01-07,47,False
2018-01-14,47,False
2018-01-21,12,False
2018-01-28,47,False
2018-02-04,79,False
2018-02-11,12,False
2018-02-18,24,False
2018-02-25,86,False
2018-03-04,49,False
2018-03-11,37,False
2018-03-18,37,False
2018-03-25,27,False
2018-04-01,14,False
2018-04-08,49,False
2018-04-15,100,False
2018-04-22,40,False
2018-04-29,51,False
2018-05-06,26,False
2018-05-13,37,False
2018-05-20,13,False
2018-05-27,13,False
2018-06-03,52,False
2018-06-10,35,False
2018-06-17,37,False
2018-06-24,61,False
2018-07-01,13,False
2018-07-08,62,False
2018-07-15,13,False
2018-07-22,49,False
2018-07-29,48,False
2018-08-05,12,False
2018-08-12,47,False
2018-08-19,33,False
2018-08-26,35,False
2018-09-02,83,False
2018-09-09,12,False
2018-09-16,12,False
2018-09-23,35,False
2018-09-30,59,False
2018-10-07,25,False
2018-10-14,37,False
2018-10-21,38,False
2018-10-28,12,False
2018-11-04,37,False
2018-11-11,39,False
2018-11-18,38,False
2018-11-25,13,False
2018-12-02,27,False
2018-12-09,13,False
2018-12-16,14,False
2018-12-23,14,False
2018-12-30,25,False
2019-01-06,60,False
2019-01-13,84,False
2019-01-20,68,False
2019-01-27,94,False
2019-02-03,23,False
2019-02-10,58,False
2019-02-17,12,False
2019-02-24,71,False
2019-03-03,37,False
2019-03-10,12,False
2019-03-17,36,False
2019-03-24,24,False
2019-03-31,23,False
2019-04-07,36,False
2019-04-14,12,False
2019-04-21,38,False
2019-04-28,36,False
2019-05-05,36,False
2019-05-12,12,False
2019-05-19,24,False
2019-05-26,33,False
2019-06-02,24,False
2019-06-09,37,False
2019-06-16,38,False
2019-06-23,12,False
2019-06-30,38,False
2019-07-07,0,False
2019-07-14,24,False
2019-07-21,0,False
2019-07-28,49,False
2019-08-04,12,False
2019-08-11,24,False
2019-08-18,22,False
2019-08-25,11,False
2019-09-01,43,False
2019-09-08,0,False
2019-09-15,34,False
2019-09-22,34,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,22,False
2019-11-10,12,False
2019-11-17,23,False
2019-11-24,12,False
2019-12-01,0,False
2019-12-08,12,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,12,False
2020-01-05,58,False
2020-01-12,56,False
2020-01-19,78,False
2020-01-26,34,False
2020-02-02,43,False
2020-02-09,34,False
2020-02-16,45,False
2020-02-23,22,False
2020-03-01,42,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,9,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,0,False
2020-04-26,32,True
