date,auguri di buon compleanno video,isPartial
2018-01-07,67,False
2018-01-14,22,False
2018-01-21,66,False
2018-01-28,38,False
2018-02-04,48,False
2018-02-11,55,False
2018-02-18,64,False
2018-02-25,47,False
2018-03-04,74,False
2018-03-11,48,False
2018-03-18,43,False
2018-03-25,63,False
2018-04-01,47,False
2018-04-08,49,False
2018-04-15,33,False
2018-04-22,29,False
2018-04-29,55,False
2018-05-06,38,False
2018-05-13,38,False
2018-05-20,22,False
2018-05-27,39,False
2018-06-03,44,False
2018-06-10,42,False
2018-06-17,44,False
2018-06-24,22,False
2018-07-01,38,False
2018-07-08,71,False
2018-07-15,28,False
2018-07-22,50,False
2018-07-29,23,False
2018-08-05,41,False
2018-08-12,56,False
2018-08-19,48,False
2018-08-26,45,False
2018-09-02,53,False
2018-09-09,54,False
2018-09-16,42,False
2018-09-23,22,False
2018-09-30,38,False
2018-10-07,33,False
2018-10-14,67,False
2018-10-21,49,False
2018-10-28,75,False
2018-11-04,47,False
2018-11-11,60,False
2018-11-18,53,False
2018-11-25,44,False
2018-12-02,55,False
2018-12-09,33,False
2018-12-16,57,False
2018-12-23,45,False
2018-12-30,30,False
2019-01-06,49,False
2019-01-13,43,False
2019-01-20,26,False
2019-01-27,30,False
2019-02-03,77,False
2019-02-10,73,False
2019-02-17,37,False
2019-02-24,37,False
2019-03-03,33,False
2019-03-10,38,False
2019-03-17,49,False
2019-03-24,60,False
2019-03-31,38,False
2019-04-07,16,False
2019-04-14,17,False
2019-04-21,29,False
2019-04-28,32,False
2019-05-05,52,False
2019-05-12,42,False
2019-05-19,36,False
2019-05-26,25,False
2019-06-02,38,False
2019-06-09,43,False
2019-06-16,43,False
2019-06-23,33,False
2019-06-30,39,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,17,False
2019-07-28,28,False
2019-08-04,46,False
2019-08-11,31,False
2019-08-18,23,False
2019-08-25,68,False
2019-09-01,20,False
2019-09-08,26,False
2019-09-15,30,False
2019-09-22,45,False
2019-09-29,20,False
2019-10-06,26,False
2019-10-13,25,False
2019-10-20,39,False
2019-10-27,30,False
2019-11-03,19,False
2019-11-10,59,False
2019-11-17,39,False
2019-11-24,19,False
2019-12-01,50,False
2019-12-08,36,False
2019-12-15,36,False
2019-12-22,83,False
2019-12-29,56,False
2020-01-05,55,False
2020-01-12,56,False
2020-01-19,28,False
2020-01-26,51,False
2020-02-02,23,False
2020-02-09,43,False
2020-02-16,52,False
2020-02-23,35,False
2020-03-01,27,False
2020-03-08,17,False
2020-03-15,34,False
2020-03-22,60,False
2020-03-29,99,False
2020-04-05,65,False
2020-04-12,61,False
2020-04-19,57,False
2020-04-26,100,True
