date,Solarenergie,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,64,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,46,False
2018-03-04,93,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,51,False
2018-04-08,100,False
2018-04-15,33,False
2018-04-22,67,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,64,False
2018-05-20,50,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,32,False
2018-06-24,31,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,33,False
2018-08-12,69,False
2018-08-19,0,False
2018-08-26,64,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,32,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,36,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,59,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,60,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,0,False
2019-03-10,58,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,0,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,32,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,30,False
2019-05-19,0,False
2019-05-26,30,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,62,False
2019-06-23,32,False
2019-06-30,31,False
2019-07-07,31,False
2019-07-14,81,False
2019-07-21,33,False
2019-07-28,32,False
2019-08-04,66,False
2019-08-11,0,False
2019-08-18,61,False
2019-08-25,30,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,45,False
2019-09-29,0,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,29,False
2019-11-03,42,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,42,False
2019-12-01,29,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,30,False
2020-01-05,41,False
2020-01-12,26,False
2020-01-19,0,False
2020-01-26,52,False
2020-02-02,26,False
2020-02-09,0,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,37,False
2020-03-15,25,False
2020-03-22,48,False
2020-03-29,0,False
2020-04-05,27,False
2020-04-12,52,False
2020-04-19,0,False
2020-04-26,50,False
2020-05-03,26,False
2020-05-10,0,False
2020-05-17,54,False
2020-05-24,51,False
2020-05-31,52,False
2020-06-07,39,False
2020-06-14,25,False
2020-06-21,26,False
2020-06-28,26,False
2020-07-05,82,False
