date,entrenador personal fitness,isPartial
2018-01-07,61,False
2018-01-14,41,False
2018-01-21,46,False
2018-01-28,0,False
2018-02-04,60,False
2018-02-11,41,False
2018-02-18,46,False
2018-02-25,59,False
2018-03-04,59,False
2018-03-11,59,False
2018-03-18,61,False
2018-03-25,51,False
2018-04-01,31,False
2018-04-08,29,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,29,False
2018-05-13,62,False
2018-05-20,30,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,38,False
2018-06-17,31,False
2018-06-24,94,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,0,False
2018-07-22,80,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,65,False
2018-08-26,31,False
2018-09-02,75,False
2018-09-09,59,False
2018-09-16,44,False
2018-09-23,29,False
2018-09-30,30,False
2018-10-07,30,False
2018-10-14,29,False
2018-10-21,30,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,56,False
2018-11-25,30,False
2018-12-02,31,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,100,False
2019-01-06,45,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,55,False
2019-02-03,59,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,30,False
2019-03-10,30,False
2019-03-17,30,False
2019-03-24,50,False
2019-03-31,29,False
2019-04-07,0,False
2019-04-14,30,False
2019-04-21,44,False
2019-04-28,30,False
2019-05-05,57,False
2019-05-12,38,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,42,False
2019-06-16,44,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,58,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,63,False
2019-08-04,31,False
2019-08-11,32,False
2019-08-18,30,False
2019-08-25,29,False
2019-09-01,70,False
2019-09-08,28,False
2019-09-15,54,False
2019-09-22,27,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,26,False
2019-11-10,52,False
2019-11-17,27,False
2019-11-24,25,False
2019-12-01,27,False
2019-12-08,0,False
2019-12-15,53,False
2019-12-22,0,False
2019-12-29,87,False
2020-01-05,0,False
2020-01-12,37,False
2020-01-19,49,False
2020-01-26,0,False
2020-02-02,51,False
2020-02-09,51,False
2020-02-16,51,False
2020-02-23,33,False
2020-03-01,48,False
2020-03-08,48,False
2020-03-15,35,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,55,False
2020-04-12,34,False
2020-04-19,32,False
2020-04-26,37,False
2020-05-03,22,False
2020-05-10,33,False
2020-05-17,0,True
