date,ramos de rosas,isPartial
2018-01-07,26,False
2018-01-14,33,False
2018-01-21,46,False
2018-01-28,30,False
2018-02-04,30,False
2018-02-11,100,False
2018-02-18,17,False
2018-02-25,22,False
2018-03-04,29,False
2018-03-11,48,False
2018-03-18,40,False
2018-03-25,48,False
2018-04-01,24,False
2018-04-08,22,False
2018-04-15,20,False
2018-04-22,55,False
2018-04-29,43,False
2018-05-06,39,False
2018-05-13,30,False
2018-05-20,23,False
2018-05-27,19,False
2018-06-03,22,False
2018-06-10,25,False
2018-06-17,27,False
2018-06-24,24,False
2018-07-01,17,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,14,False
2018-07-29,10,False
2018-08-05,31,False
2018-08-12,39,False
2018-08-19,50,False
2018-08-26,20,False
2018-09-02,10,False
2018-09-09,33,False
2018-09-16,23,False
2018-09-23,35,False
2018-09-30,19,False
2018-10-07,43,False
2018-10-14,54,False
2018-10-21,19,False
2018-10-28,10,False
2018-11-04,34,False
2018-11-11,19,False
2018-11-18,22,False
2018-11-25,13,False
2018-12-02,20,False
2018-12-09,13,False
2018-12-16,27,False
2018-12-23,8,False
2018-12-30,7,False
2019-01-06,16,False
2019-01-13,25,False
2019-01-20,15,False
2019-01-27,18,False
2019-02-03,16,False
2019-02-10,83,False
2019-02-17,13,False
2019-02-24,28,False
2019-03-03,16,False
2019-03-10,36,False
2019-03-17,46,False
2019-03-24,32,False
2019-03-31,12,False
2019-04-07,25,False
2019-04-14,23,False
2019-04-21,48,False
2019-04-28,38,False
2019-05-05,44,False
2019-05-12,32,False
2019-05-19,28,False
2019-05-26,15,False
2019-06-02,36,False
2019-06-09,24,False
2019-06-16,26,False
2019-06-23,20,False
2019-06-30,16,False
2019-07-07,13,False
2019-07-14,26,False
2019-07-21,20,False
2019-07-28,10,False
2019-08-04,34,False
2019-08-11,31,False
2019-08-18,23,False
2019-08-25,13,False
2019-09-01,21,False
2019-09-08,18,False
2019-09-15,12,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,50,False
2019-10-13,37,False
2019-10-20,17,False
2019-10-27,38,False
2019-11-03,28,False
2019-11-10,43,False
2019-11-17,11,False
2019-11-24,22,False
2019-12-01,9,False
2019-12-08,18,False
2019-12-15,26,False
2019-12-22,6,False
2019-12-29,16,False
2020-01-05,20,False
2020-01-12,27,False
2020-01-19,19,False
2020-01-26,25,False
2020-02-02,33,False
2020-02-09,83,False
2020-02-16,14,False
2020-02-23,19,False
2020-03-01,13,False
2020-03-08,31,False
2020-03-15,20,False
2020-03-22,17,False
2020-03-29,24,False
2020-04-05,28,False
2020-04-12,38,True
