date,plan jardin,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,39,False
2018-01-28,40,False
2018-02-04,20,False
2018-02-11,20,False
2018-02-18,19,False
2018-02-25,19,False
2018-03-04,30,False
2018-03-11,50,False
2018-03-18,40,False
2018-03-25,20,False
2018-04-01,41,False
2018-04-08,32,False
2018-04-15,72,False
2018-04-22,34,False
2018-04-29,66,False
2018-05-06,30,False
2018-05-13,20,False
2018-05-20,41,False
2018-05-27,53,False
2018-06-03,26,False
2018-06-10,19,False
2018-06-17,30,False
2018-06-24,39,False
2018-07-01,52,False
2018-07-08,45,False
2018-07-15,0,False
2018-07-22,20,False
2018-07-29,39,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,59,False
2018-08-26,50,False
2018-09-02,30,False
2018-09-09,47,False
2018-09-16,20,False
2018-09-23,27,False
2018-09-30,34,False
2018-10-07,31,False
2018-10-14,21,False
2018-10-21,22,False
2018-10-28,20,False
2018-11-04,26,False
2018-11-11,34,False
2018-11-18,0,False
2018-11-25,41,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,65,False
2018-12-23,49,False
2018-12-30,37,False
2019-01-06,52,False
2019-01-13,20,False
2019-01-20,40,False
2019-01-27,26,False
2019-02-03,40,False
2019-02-10,35,False
2019-02-17,42,False
2019-02-24,51,False
2019-03-03,67,False
2019-03-10,62,False
2019-03-17,35,False
2019-03-24,56,False
2019-03-31,34,False
2019-04-07,41,False
2019-04-14,21,False
2019-04-21,77,False
2019-04-28,47,False
2019-05-05,39,False
2019-05-12,30,False
2019-05-19,19,False
2019-05-26,20,False
2019-06-02,18,False
2019-06-09,24,False
2019-06-16,47,False
2019-06-23,19,False
2019-06-30,37,False
2019-07-07,19,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,71,False
2019-08-04,38,False
2019-08-11,35,False
2019-08-18,24,False
2019-08-25,28,False
2019-09-01,37,False
2019-09-08,37,False
2019-09-15,0,False
2019-09-22,37,False
2019-09-29,37,False
2019-10-06,19,False
2019-10-13,37,False
2019-10-20,18,False
2019-10-27,0,False
2019-11-03,45,False
2019-11-10,18,False
2019-11-17,26,False
2019-11-24,35,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,26,False
2019-12-22,40,False
2019-12-29,25,False
2020-01-05,17,False
2020-01-12,33,False
2020-01-19,85,False
2020-01-26,26,False
2020-02-02,34,False
2020-02-09,26,False
2020-02-16,77,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,24,False
2020-03-15,30,False
2020-03-22,57,False
2020-03-29,24,False
2020-04-05,29,False
2020-04-12,15,False
2020-04-19,42,False
2020-04-26,49,False
2020-05-03,36,False
2020-05-10,56,False
2020-05-17,100,True
