date,plan jardin,isPartial
2018-01-07,56,False
2018-01-14,55,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,55,False
2018-02-18,74,False
2018-02-25,46,False
2018-03-04,57,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,47,False
2018-04-08,43,False
2018-04-15,44,False
2018-04-22,28,False
2018-04-29,44,False
2018-05-06,88,False
2018-05-13,0,False
2018-05-20,49,False
2018-05-27,28,False
2018-06-03,0,False
2018-06-10,27,False
2018-06-17,29,False
2018-06-24,39,False
2018-07-01,37,False
2018-07-08,29,False
2018-07-15,59,False
2018-07-22,73,False
2018-07-29,29,False
2018-08-05,47,False
2018-08-12,28,False
2018-08-19,75,False
2018-08-26,0,False
2018-09-02,43,False
2018-09-09,29,False
2018-09-16,42,False
2018-09-23,29,False
2018-09-30,43,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,58,False
2018-10-28,42,False
2018-11-04,27,False
2018-11-11,0,False
2018-11-18,28,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,29,False
2018-12-16,29,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,56,False
2019-01-13,28,False
2019-01-20,28,False
2019-01-27,27,False
2019-02-03,28,False
2019-02-10,90,False
2019-02-17,58,False
2019-02-24,70,False
2019-03-03,27,False
2019-03-10,28,False
2019-03-17,43,False
2019-03-24,58,False
2019-03-31,100,False
2019-04-07,30,False
2019-04-14,72,False
2019-04-21,41,False
2019-04-28,53,False
2019-05-05,41,False
2019-05-12,38,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,26,False
2019-06-09,26,False
2019-06-16,56,False
2019-06-23,27,False
2019-06-30,46,False
2019-07-07,27,False
2019-07-14,40,False
2019-07-21,27,False
2019-07-28,67,False
2019-08-04,26,False
2019-08-11,25,False
2019-08-18,54,False
2019-08-25,52,False
2019-09-01,35,False
2019-09-08,26,False
2019-09-15,35,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,39,False
2019-10-13,51,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,25,False
2019-11-10,62,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,49,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,38,False
2020-01-05,24,False
2020-01-12,23,False
2020-01-19,33,False
2020-01-26,23,False
2020-02-02,40,False
2020-02-09,46,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,40,False
2020-03-22,48,False
2020-03-29,32,False
2020-04-05,51,False
2020-04-12,67,False
2020-04-19,49,False
2020-04-26,36,False
2020-05-03,75,False
2020-05-10,34,False
2020-05-17,26,True
