date,festa di compleanno,isPartial
2018-01-07,65,False
2018-01-14,49,False
2018-01-21,33,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,32,False
2018-04-15,67,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,64,False
2018-05-13,0,False
2018-05-20,32,False
2018-05-27,33,False
2018-06-03,33,False
2018-06-10,0,False
2018-06-17,48,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,96,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,32,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,30,False
2018-09-02,93,False
2018-09-09,32,False
2018-09-16,32,False
2018-09-23,64,False
2018-09-30,33,False
2018-10-07,34,False
2018-10-14,0,False
2018-10-21,100,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,43,False
2019-02-10,0,False
2019-02-17,30,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,63,False
2019-04-21,31,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,29,False
2019-05-26,0,False
2019-06-02,30,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,0,False
2019-07-21,60,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,57,False
2019-09-22,56,False
2019-09-29,0,False
2019-10-06,29,False
2019-10-13,28,False
2019-10-20,0,False
2019-10-27,27,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,27,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,65,False
2019-12-29,0,False
2020-01-05,54,False
2020-01-12,76,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,25,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,23,False
2020-03-15,23,False
2020-03-22,21,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
