date,reparation store,isPartial
2018-01-07,30,False
2018-01-14,23,False
2018-01-21,22,False
2018-01-28,34,False
2018-02-04,45,False
2018-02-11,35,False
2018-02-18,73,False
2018-02-25,24,False
2018-03-04,69,False
2018-03-11,39,False
2018-03-18,47,False
2018-03-25,35,False
2018-04-01,24,False
2018-04-08,31,False
2018-04-15,25,False
2018-04-22,73,False
2018-04-29,48,False
2018-05-06,25,False
2018-05-13,31,False
2018-05-20,47,False
2018-05-27,37,False
2018-06-03,30,False
2018-06-10,52,False
2018-06-17,45,False
2018-06-24,30,False
2018-07-01,45,False
2018-07-08,35,False
2018-07-15,51,False
2018-07-22,52,False
2018-07-29,54,False
2018-08-05,100,False
2018-08-12,70,False
2018-08-19,27,False
2018-08-26,37,False
2018-09-02,70,False
2018-09-09,34,False
2018-09-16,37,False
2018-09-23,45,False
2018-09-30,30,False
2018-10-07,23,False
2018-10-14,66,False
2018-10-21,59,False
2018-10-28,24,False
2018-11-04,34,False
2018-11-11,22,False
2018-11-18,0,False
2018-11-25,45,False
2018-12-02,45,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,38,False
2019-01-13,46,False
2019-01-20,34,False
2019-01-27,44,False
2019-02-03,0,False
2019-02-10,22,False
2019-02-17,57,False
2019-02-24,31,False
2019-03-03,45,False
2019-03-10,68,False
2019-03-17,35,False
2019-03-24,32,False
2019-03-31,23,False
2019-04-07,24,False
2019-04-14,49,False
2019-04-21,26,False
2019-04-28,51,False
2019-05-05,50,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,49,False
2019-06-02,22,False
2019-06-09,48,False
2019-06-16,36,False
2019-06-23,36,False
2019-06-30,24,False
2019-07-07,58,False
2019-07-14,44,False
2019-07-21,55,False
2019-07-28,0,False
2019-08-04,76,False
2019-08-11,64,False
2019-08-18,45,False
2019-08-25,35,False
2019-09-01,48,False
2019-09-08,23,False
2019-09-15,35,False
2019-09-22,30,False
2019-09-29,34,False
2019-10-06,46,False
2019-10-13,46,False
2019-10-20,47,False
2019-10-27,24,False
2019-11-03,45,False
2019-11-10,70,False
2019-11-17,46,False
2019-11-24,22,False
2019-12-01,76,False
2019-12-08,22,False
2019-12-15,34,False
2019-12-22,55,False
2019-12-29,26,False
2020-01-05,22,False
2020-01-12,22,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,45,False
2020-02-16,31,False
2020-02-23,29,False
2020-03-01,21,False
2020-03-08,42,False
2020-03-15,0,False
2020-03-22,46,False
2020-03-29,22,False
2020-04-05,22,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,65,False
2020-05-03,31,False
2020-05-10,65,False
2020-05-17,57,False
2020-05-24,36,False
2020-05-31,55,False
2020-06-07,53,False
2020-06-14,22,False
