date,auguri di compleanno video,isPartial
2018-01-07,33,False
2018-01-14,34,False
2018-01-21,33,False
2018-01-28,100,False
2018-02-04,65,False
2018-02-11,34,False
2018-02-18,34,False
2018-02-25,70,False
2018-03-04,0,False
2018-03-11,72,False
2018-03-18,71,False
2018-03-25,0,False
2018-04-01,39,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,38,False
2018-04-29,36,False
2018-05-06,37,False
2018-05-13,36,False
2018-05-20,0,False
2018-05-27,37,False
2018-06-03,0,False
2018-06-10,34,False
2018-06-17,35,False
2018-06-24,0,False
2018-07-01,36,False
2018-07-08,36,False
2018-07-15,37,False
2018-07-22,70,False
2018-07-29,34,False
2018-08-05,33,False
2018-08-12,34,False
2018-08-19,0,False
2018-08-26,33,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,35,False
2018-10-14,0,False
2018-10-21,35,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,37,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,38,False
2018-12-09,37,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,34,False
2019-01-13,35,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,33,False
2019-02-10,0,False
2019-02-17,34,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,34,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,35,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,34,False
2019-05-12,33,False
2019-05-19,68,False
2019-05-26,31,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,35,False
2019-06-30,0,False
2019-07-07,35,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,35,False
2019-08-18,32,False
2019-08-25,31,False
2019-09-01,62,False
2019-09-08,33,False
2019-09-15,32,False
2019-09-22,33,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,34,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,32,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,33,False
2019-12-01,0,False
2019-12-08,34,False
2019-12-15,35,False
2019-12-22,37,False
2019-12-29,36,False
2020-01-05,0,False
2020-01-12,32,False
2020-01-19,32,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,32,False
2020-02-23,32,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,27,False
2020-03-22,0,False
2020-03-29,52,False
2020-04-05,27,False
2020-04-12,42,False
2020-04-19,26,False
2020-04-26,46,True
