date,Trucco sposa,isPartial
2018-01-07,28,False
2018-01-14,28,False
2018-01-21,26,False
2018-01-28,40,False
2018-02-04,39,False
2018-02-11,42,False
2018-02-18,82,False
2018-02-25,0,False
2018-03-04,54,False
2018-03-11,55,False
2018-03-18,28,False
2018-03-25,29,False
2018-04-01,45,False
2018-04-08,41,False
2018-04-15,44,False
2018-04-22,30,False
2018-04-29,29,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,29,False
2018-05-27,28,False
2018-06-03,56,False
2018-06-10,27,False
2018-06-17,61,False
2018-06-24,94,False
2018-07-01,31,False
2018-07-08,46,False
2018-07-15,63,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,42,False
2018-08-19,38,False
2018-08-26,33,False
2018-09-02,31,False
2018-09-09,30,False
2018-09-16,30,False
2018-09-23,45,False
2018-09-30,45,False
2018-10-07,31,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,89,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,27,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,42,False
2019-01-13,27,False
2019-01-20,26,False
2019-01-27,38,False
2019-02-03,26,False
2019-02-10,0,False
2019-02-17,26,False
2019-02-24,27,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,27,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,55,False
2019-04-21,30,False
2019-04-28,42,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,52,False
2019-05-26,78,False
2019-06-02,27,False
2019-06-09,39,False
2019-06-16,27,False
2019-06-23,28,False
2019-06-30,27,False
2019-07-07,41,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,84,False
2019-09-01,26,False
2019-09-08,40,False
2019-09-15,25,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,53,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,100,False
2019-11-03,25,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,36,False
2019-12-01,25,False
2019-12-08,0,False
2019-12-15,25,False
2019-12-22,29,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,23,False
2020-01-19,23,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,24,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
