date,trucco sposa,isPartial
2018-01-07,46,False
2018-01-14,22,False
2018-01-21,38,False
2018-01-28,66,False
2018-02-04,27,False
2018-02-11,71,False
2018-02-18,43,False
2018-02-25,21,False
2018-03-04,31,False
2018-03-11,36,False
2018-03-18,16,False
2018-03-25,28,False
2018-04-01,23,False
2018-04-08,21,False
2018-04-15,71,False
2018-04-22,28,False
2018-04-29,49,False
2018-05-06,80,False
2018-05-13,52,False
2018-05-20,37,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,42,False
2018-06-17,22,False
2018-06-24,22,False
2018-07-01,16,False
2018-07-08,55,False
2018-07-15,22,False
2018-07-22,23,False
2018-07-29,24,False
2018-08-05,13,False
2018-08-12,15,False
2018-08-19,28,False
2018-08-26,29,False
2018-09-02,47,False
2018-09-09,41,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,16,False
2018-10-14,10,False
2018-10-21,20,False
2018-10-28,31,False
2018-11-04,0,False
2018-11-11,10,False
2018-11-18,15,False
2018-11-25,52,False
2018-12-02,10,False
2018-12-09,15,False
2018-12-16,0,False
2018-12-23,12,False
2018-12-30,0,False
2019-01-06,10,False
2019-01-13,25,False
2019-01-20,49,False
2019-01-27,34,False
2019-02-03,25,False
2019-02-10,15,False
2019-02-17,20,False
2019-02-24,10,False
2019-03-03,31,False
2019-03-10,31,False
2019-03-17,21,False
2019-03-24,27,False
2019-03-31,21,False
2019-04-07,36,False
2019-04-14,11,False
2019-04-21,29,False
2019-04-28,22,False
2019-05-05,46,False
2019-05-12,51,False
2019-05-19,10,False
2019-05-26,45,False
2019-06-02,21,False
2019-06-09,42,False
2019-06-16,11,False
2019-06-23,22,False
2019-06-30,11,False
2019-07-07,11,False
2019-07-14,22,False
2019-07-21,11,False
2019-07-28,23,False
2019-08-04,13,False
2019-08-11,28,False
2019-08-18,26,False
2019-08-25,23,False
2019-09-01,30,False
2019-09-08,15,False
2019-09-15,24,False
2019-09-22,19,False
2019-09-29,10,False
2019-10-06,20,False
2019-10-13,15,False
2019-10-20,23,False
2019-10-27,100,False
2019-11-03,18,False
2019-11-10,14,False
2019-11-17,28,False
2019-11-24,9,False
2019-12-01,10,False
2019-12-08,29,False
2019-12-15,10,False
2019-12-22,12,False
2019-12-29,23,False
2020-01-05,14,False
2020-01-12,22,False
2020-01-19,46,False
2020-01-26,13,False
2020-02-02,13,False
2020-02-09,9,False
2020-02-16,40,False
2020-02-23,30,False
2020-03-01,17,False
2020-03-08,8,False
2020-03-15,9,False
2020-03-22,0,False
2020-03-29,8,False
2020-04-05,0,False
2020-04-12,13,False
2020-04-19,8,False
2020-04-26,14,True
