date,trucco sposa,isPartial
2018-01-07,52,False
2018-01-14,62,False
2018-01-21,53,False
2018-01-28,69,False
2018-02-04,49,False
2018-02-11,62,False
2018-02-18,52,False
2018-02-25,31,False
2018-03-04,55,False
2018-03-11,57,False
2018-03-18,60,False
2018-03-25,59,False
2018-04-01,67,False
2018-04-08,76,False
2018-04-15,72,False
2018-04-22,91,False
2018-04-29,72,False
2018-05-06,73,False
2018-05-13,75,False
2018-05-20,90,False
2018-05-27,57,False
2018-06-03,63,False
2018-06-10,76,False
2018-06-17,48,False
2018-06-24,48,False
2018-07-01,44,False
2018-07-08,47,False
2018-07-15,48,False
2018-07-22,46,False
2018-07-29,76,False
2018-08-05,57,False
2018-08-12,45,False
2018-08-19,55,False
2018-08-26,54,False
2018-09-02,63,False
2018-09-09,54,False
2018-09-16,56,False
2018-09-23,43,False
2018-09-30,30,False
2018-10-07,29,False
2018-10-14,41,False
2018-10-21,51,False
2018-10-28,81,False
2018-11-04,14,False
2018-11-11,31,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,20,False
2018-12-09,20,False
2018-12-16,15,False
2018-12-23,17,False
2018-12-30,24,False
2019-01-06,33,False
2019-01-13,39,False
2019-01-20,41,False
2019-01-27,29,False
2019-02-03,40,False
2019-02-10,45,False
2019-02-17,39,False
2019-02-24,46,False
2019-03-03,41,False
2019-03-10,36,False
2019-03-17,35,False
2019-03-24,68,False
2019-03-31,37,False
2019-04-07,37,False
2019-04-14,41,False
2019-04-21,56,False
2019-04-28,42,False
2019-05-05,58,False
2019-05-12,38,False
2019-05-19,55,False
2019-05-26,49,False
2019-06-02,47,False
2019-06-09,50,False
2019-06-16,45,False
2019-06-23,41,False
2019-06-30,30,False
2019-07-07,28,False
2019-07-14,40,False
2019-07-21,52,False
2019-07-28,56,False
2019-08-04,39,False
2019-08-11,29,False
2019-08-18,48,False
2019-08-25,40,False
2019-09-01,50,False
2019-09-08,49,False
2019-09-15,45,False
2019-09-22,25,False
2019-09-29,35,False
2019-10-06,36,False
2019-10-13,36,False
2019-10-20,38,False
2019-10-27,100,False
2019-11-03,24,False
2019-11-10,26,False
2019-11-17,23,False
2019-11-24,10,False
2019-12-01,15,False
2019-12-08,24,False
2019-12-15,19,False
2019-12-22,12,False
2019-12-29,23,False
2020-01-05,32,False
2020-01-12,34,False
2020-01-19,37,False
2020-01-26,33,False
2020-02-02,25,False
2020-02-09,38,False
2020-02-16,38,False
2020-02-23,39,False
2020-03-01,35,False
2020-03-08,13,False
2020-03-15,9,False
2020-03-22,4,False
2020-03-29,3,False
2020-04-05,13,False
2020-04-12,4,False
2020-04-19,8,False
2020-04-26,7,True
