date,terrasse paysagiste,isPartial
2018-01-07,29,False
2018-01-14,32,False
2018-01-21,36,False
2018-01-28,22,False
2018-02-04,43,False
2018-02-11,22,False
2018-02-18,38,False
2018-02-25,29,False
2018-03-04,54,False
2018-03-11,100,False
2018-03-18,52,False
2018-03-25,45,False
2018-04-01,45,False
2018-04-08,44,False
2018-04-15,56,False
2018-04-22,46,False
2018-04-29,68,False
2018-05-06,71,False
2018-05-13,22,False
2018-05-20,57,False
2018-05-27,33,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,30,False
2018-06-24,45,False
2018-07-01,43,False
2018-07-08,46,False
2018-07-15,32,False
2018-07-22,40,False
2018-07-29,36,False
2018-08-05,24,False
2018-08-12,50,False
2018-08-19,24,False
2018-08-26,35,False
2018-09-02,45,False
2018-09-09,34,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,22,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,22,False
2018-12-09,0,False
2018-12-16,34,False
2018-12-23,26,False
2018-12-30,73,False
2019-01-06,44,False
2019-01-13,22,False
2019-01-20,85,False
2019-01-27,42,False
2019-02-03,65,False
2019-02-10,37,False
2019-02-17,76,False
2019-02-24,45,False
2019-03-03,29,False
2019-03-10,55,False
2019-03-17,23,False
2019-03-24,53,False
2019-03-31,37,False
2019-04-07,34,False
2019-04-14,61,False
2019-04-21,23,False
2019-04-28,44,False
2019-05-05,21,False
2019-05-12,58,False
2019-05-19,22,False
2019-05-26,22,False
2019-06-02,41,False
2019-06-09,21,False
2019-06-16,29,False
2019-06-23,32,False
2019-06-30,22,False
2019-07-07,43,False
2019-07-14,23,False
2019-07-21,23,False
2019-07-28,35,False
2019-08-04,47,False
2019-08-11,0,False
2019-08-18,23,False
2019-08-25,33,False
2019-09-01,28,False
2019-09-08,42,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,20,False
2019-10-06,0,False
2019-10-13,34,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,40,False
2019-11-10,20,False
2019-11-17,30,False
2019-11-24,19,False
2019-12-01,59,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,33,False
2019-12-29,32,False
2020-01-05,58,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,38,False
2020-02-02,26,False
2020-02-09,29,False
2020-02-16,48,False
2020-02-23,56,False
2020-03-01,49,False
2020-03-08,24,False
2020-03-15,46,False
2020-03-22,26,False
2020-03-29,26,False
2020-04-05,26,False
2020-04-12,70,False
2020-04-19,68,False
2020-04-26,54,False
2020-05-03,74,False
2020-05-10,69,False
2020-05-17,71,True
