date,Zimmerei und Holzbau,isPartial
2018-01-07,0,False
2018-01-14,66,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,34,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,34,False
2018-03-04,33,False
2018-03-11,0,False
2018-03-18,51,False
2018-03-25,36,False
2018-04-01,36,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,34,False
2018-04-29,36,False
2018-05-06,36,False
2018-05-13,68,False
2018-05-20,0,False
2018-05-27,35,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,67,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,34,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,35,False
2018-08-12,36,False
2018-08-19,0,False
2018-08-26,35,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,34,False
2018-10-28,66,False
2018-11-04,32,False
2018-11-11,67,False
2018-11-18,32,False
2018-11-25,33,False
2018-12-02,33,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,31,False
2019-01-20,31,False
2019-01-27,0,False
2019-02-03,47,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,66,False
2019-03-24,32,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,36,False
2019-04-21,0,False
2019-04-28,32,False
2019-05-05,94,False
2019-05-12,33,False
2019-05-19,0,False
2019-05-26,66,False
2019-06-02,0,False
2019-06-09,33,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,32,False
2019-07-14,100,False
2019-07-21,0,False
2019-07-28,69,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,33,False
2019-08-25,33,False
2019-09-01,32,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,32,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,31,False
2019-10-27,31,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,0,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,0,False
2020-01-12,28,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,28,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,0,False
2020-03-08,26,False
2020-03-15,26,False
2020-03-22,0,False
2020-03-29,26,False
2020-04-05,28,False
2020-04-12,27,False
2020-04-19,0,False
2020-04-26,25,False
2020-05-03,39,False
2020-05-10,26,False
