date,split climatisation,isPartial
2018-01-07,8,False
2018-01-14,8,False
2018-01-21,6,False
2018-01-28,9,False
2018-02-04,6,False
2018-02-11,5,False
2018-02-18,4,False
2018-02-25,14,False
2018-03-04,9,False
2018-03-11,16,False
2018-03-18,12,False
2018-03-25,11,False
2018-04-01,15,False
2018-04-08,7,False
2018-04-15,14,False
2018-04-22,10,False
2018-04-29,8,False
2018-05-06,13,False
2018-05-13,5,False
2018-05-20,10,False
2018-05-27,13,False
2018-06-03,17,False
2018-06-10,17,False
2018-06-17,19,False
2018-06-24,23,False
2018-07-01,42,False
2018-07-08,31,False
2018-07-15,19,False
2018-07-22,63,False
2018-07-29,80,False
2018-08-05,70,False
2018-08-12,16,False
2018-08-19,22,False
2018-08-26,15,False
2018-09-02,12,False
2018-09-09,12,False
2018-09-16,13,False
2018-09-23,8,False
2018-09-30,11,False
2018-10-07,8,False
2018-10-14,9,False
2018-10-21,14,False
2018-10-28,8,False
2018-11-04,13,False
2018-11-11,12,False
2018-11-18,12,False
2018-11-25,8,False
2018-12-02,4,False
2018-12-09,4,False
2018-12-16,6,False
2018-12-23,8,False
2018-12-30,10,False
2019-01-06,9,False
2019-01-13,15,False
2019-01-20,17,False
2019-01-27,8,False
2019-02-03,12,False
2019-02-10,4,False
2019-02-17,16,False
2019-02-24,12,False
2019-03-03,12,False
2019-03-10,8,False
2019-03-17,12,False
2019-03-24,12,False
2019-03-31,17,False
2019-04-07,16,False
2019-04-14,18,False
2019-04-21,15,False
2019-04-28,8,False
2019-05-05,14,False
2019-05-12,13,False
2019-05-19,9,False
2019-05-26,17,False
2019-06-02,31,False
2019-06-09,19,False
2019-06-16,42,False
2019-06-23,100,False
2019-06-30,86,False
2019-07-07,39,False
2019-07-14,21,False
2019-07-21,66,False
2019-07-28,18,False
2019-08-04,20,False
2019-08-11,11,False
2019-08-18,14,False
2019-08-25,21,False
2019-09-01,9,False
2019-09-08,9,False
2019-09-15,9,False
2019-09-22,15,False
2019-09-29,10,False
2019-10-06,9,False
2019-10-13,21,False
2019-10-20,12,False
2019-10-27,17,False
2019-11-03,12,False
2019-11-10,17,False
2019-11-17,12,False
2019-11-24,5,False
2019-12-01,11,False
2019-12-08,13,False
2019-12-15,7,False
2019-12-22,16,False
2019-12-29,13,False
2020-01-05,11,False
2020-01-12,15,False
2020-01-19,14,False
2020-01-26,13,False
2020-02-02,22,False
2020-02-09,16,False
2020-02-16,15,False
2020-02-23,25,False
2020-03-01,15,False
2020-03-08,11,False
2020-03-15,8,False
2020-03-22,8,False
2020-03-29,5,False
2020-04-05,16,False
2020-04-12,14,False
2020-04-19,18,False
2020-04-26,18,False
2020-05-03,23,False
2020-05-10,23,False
2020-05-17,25,True
