date,split climatisation,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,31,False
2018-04-08,0,False
2018-04-15,32,False
2018-04-22,0,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,30,False
2018-05-27,29,False
2018-06-03,28,False
2018-06-10,54,False
2018-06-17,39,False
2018-06-24,29,False
2018-07-01,42,False
2018-07-08,71,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,42,False
2018-08-05,79,False
2018-08-12,27,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,30,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,31,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,29,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,29,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,26,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,23,False
2019-06-09,35,False
2019-06-16,36,False
2019-06-23,49,False
2019-06-30,35,False
2019-07-07,23,False
2019-07-14,23,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,48,False
2019-08-11,32,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,36,False
2019-10-20,24,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,34,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,48,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,73,False
2020-01-05,23,False
2020-01-12,44,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,46,False
2020-02-09,0,False
2020-02-16,22,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,21,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,20,False
2020-04-26,0,False
2020-05-03,39,False
2020-05-10,20,False
2020-05-17,100,True
