date,cours maths seconde,isPartial
2018-01-07,47,False
2018-01-14,47,False
2018-01-21,62,False
2018-01-28,32,False
2018-02-04,31,False
2018-02-11,32,False
2018-02-18,67,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,32,False
2018-03-18,33,False
2018-03-25,65,False
2018-04-01,33,False
2018-04-08,64,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,50,False
2018-05-06,35,False
2018-05-13,32,False
2018-05-20,49,False
2018-05-27,31,False
2018-06-03,0,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,37,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,38,False
2018-08-26,69,False
2018-09-02,64,False
2018-09-09,47,False
2018-09-16,31,False
2018-09-23,94,False
2018-09-30,31,False
2018-10-07,31,False
2018-10-14,50,False
2018-10-21,0,False
2018-10-28,67,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,63,False
2018-12-02,47,False
2018-12-09,0,False
2018-12-16,32,False
2018-12-23,39,False
2018-12-30,36,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,31,False
2019-01-27,30,False
2019-02-03,44,False
2019-02-10,31,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,36,False
2019-04-28,36,False
2019-05-05,0,False
2019-05-12,67,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,30,False
2019-06-09,66,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,100,False
2019-07-07,0,False
2019-07-14,36,False
2019-07-21,38,False
2019-07-28,40,False
2019-08-04,42,False
2019-08-11,66,False
2019-08-18,42,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,49,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,62,False
2019-10-06,32,False
2019-10-13,48,False
2019-10-20,65,False
2019-10-27,33,False
2019-11-03,61,False
2019-11-10,32,False
2019-11-17,31,False
2019-11-24,31,False
2019-12-01,45,False
2019-12-08,31,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,35,False
2020-01-05,60,False
2020-01-12,61,False
2020-01-19,73,False
2020-01-26,30,False
2020-02-02,31,False
2020-02-09,0,False
2020-02-16,32,False
2020-02-23,59,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,31,False
2020-03-22,63,False
2020-03-29,63,False
2020-04-05,31,False
2020-04-12,95,False
2020-04-19,0,False
2020-04-26,30,False
2020-05-03,29,False
2020-05-10,61,False
2020-05-17,73,True
