date,abiti da cerimonia,isPartial
2018-01-07,67,False
2018-01-14,48,False
2018-01-21,75,False
2018-01-28,28,False
2018-02-04,19,False
2018-02-11,75,False
2018-02-18,74,False
2018-02-25,82,False
2018-03-04,63,False
2018-03-11,36,False
2018-03-18,82,False
2018-03-25,38,False
2018-04-01,30,False
2018-04-08,81,False
2018-04-15,38,False
2018-04-22,78,False
2018-04-29,79,False
2018-05-06,100,False
2018-05-13,27,False
2018-05-20,45,False
2018-05-27,72,False
2018-06-03,44,False
2018-06-10,81,False
2018-06-17,99,False
2018-06-24,31,False
2018-07-01,44,False
2018-07-08,52,False
2018-07-15,60,False
2018-07-22,22,False
2018-07-29,29,False
2018-08-05,34,False
2018-08-12,14,False
2018-08-19,35,False
2018-08-26,23,False
2018-09-02,51,False
2018-09-09,43,False
2018-09-16,36,False
2018-09-23,16,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,36,False
2018-10-21,47,False
2018-10-28,18,False
2018-11-04,0,False
2018-11-11,28,False
2018-11-18,18,False
2018-11-25,0,False
2018-12-02,29,False
2018-12-09,19,False
2018-12-16,61,False
2018-12-23,22,False
2018-12-30,21,False
2019-01-06,29,False
2019-01-13,37,False
2019-01-20,26,False
2019-01-27,27,False
2019-02-03,37,False
2019-02-10,48,False
2019-02-17,48,False
2019-02-24,92,False
2019-03-03,40,False
2019-03-10,66,False
2019-03-17,58,False
2019-03-24,96,False
2019-03-31,57,False
2019-04-07,73,False
2019-04-14,57,False
2019-04-21,48,False
2019-04-28,65,False
2019-05-05,73,False
2019-05-12,53,False
2019-05-19,71,False
2019-05-26,85,False
2019-06-02,27,False
2019-06-09,35,False
2019-06-16,34,False
2019-06-23,42,False
2019-06-30,17,False
2019-07-07,32,False
2019-07-14,31,False
2019-07-21,40,False
2019-07-28,23,False
2019-08-04,45,False
2019-08-11,28,False
2019-08-18,33,False
2019-08-25,27,False
2019-09-01,42,False
2019-09-08,45,False
2019-09-15,23,False
2019-09-22,16,False
2019-09-29,32,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,16,False
2019-10-27,25,False
2019-11-03,0,False
2019-11-10,32,False
2019-11-17,32,False
2019-11-24,15,False
2019-12-01,16,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,37,False
2019-12-29,17,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,22,False
2020-01-26,52,False
2020-02-02,37,False
2020-02-09,15,False
2020-02-16,38,False
2020-02-23,15,False
2020-03-01,14,False
2020-03-08,13,False
2020-03-15,13,False
2020-03-22,12,False
2020-03-29,0,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,13,False
2020-04-26,0,True
