date,abiti da cerimonia,isPartial
2018-01-07,46,False
2018-01-14,52,False
2018-01-21,55,False
2018-01-28,53,False
2018-02-04,57,False
2018-02-11,58,False
2018-02-18,71,False
2018-02-25,44,False
2018-03-04,64,False
2018-03-11,52,False
2018-03-18,62,False
2018-03-25,55,False
2018-04-01,80,False
2018-04-08,81,False
2018-04-15,87,False
2018-04-22,68,False
2018-04-29,80,False
2018-05-06,100,False
2018-05-13,72,False
2018-05-20,71,False
2018-05-27,54,False
2018-06-03,39,False
2018-06-10,75,False
2018-06-17,59,False
2018-06-24,59,False
2018-07-01,50,False
2018-07-08,38,False
2018-07-15,32,False
2018-07-22,29,False
2018-07-29,32,False
2018-08-05,38,False
2018-08-12,26,False
2018-08-19,37,False
2018-08-26,50,False
2018-09-02,36,False
2018-09-09,42,False
2018-09-16,23,False
2018-09-23,25,False
2018-09-30,22,False
2018-10-07,23,False
2018-10-14,18,False
2018-10-21,14,False
2018-10-28,17,False
2018-11-04,24,False
2018-11-11,20,False
2018-11-18,12,False
2018-11-25,14,False
2018-12-02,17,False
2018-12-09,24,False
2018-12-16,7,False
2018-12-23,15,False
2018-12-30,25,False
2019-01-06,34,False
2019-01-13,40,False
2019-01-20,46,False
2019-01-27,26,False
2019-02-03,53,False
2019-02-10,46,False
2019-02-17,44,False
2019-02-24,70,False
2019-03-03,48,False
2019-03-10,79,False
2019-03-17,77,False
2019-03-24,57,False
2019-03-31,66,False
2019-04-07,48,False
2019-04-14,56,False
2019-04-21,71,False
2019-04-28,78,False
2019-05-05,75,False
2019-05-12,75,False
2019-05-19,57,False
2019-05-26,58,False
2019-06-02,60,False
2019-06-09,49,False
2019-06-16,37,False
2019-06-23,38,False
2019-06-30,50,False
2019-07-07,28,False
2019-07-14,54,False
2019-07-21,35,False
2019-07-28,24,False
2019-08-04,30,False
2019-08-11,31,False
2019-08-18,27,False
2019-08-25,44,False
2019-09-01,43,False
2019-09-08,36,False
2019-09-15,36,False
2019-09-22,37,False
2019-09-29,14,False
2019-10-06,29,False
2019-10-13,19,False
2019-10-20,20,False
2019-10-27,17,False
2019-11-03,10,False
2019-11-10,17,False
2019-11-17,14,False
2019-11-24,19,False
2019-12-01,13,False
2019-12-08,10,False
2019-12-15,23,False
2019-12-22,9,False
2019-12-29,29,False
2020-01-05,38,False
2020-01-12,38,False
2020-01-19,48,False
2020-01-26,50,False
2020-02-02,40,False
2020-02-09,40,False
2020-02-16,39,False
2020-02-23,48,False
2020-03-01,34,False
2020-03-08,12,False
2020-03-15,4,False
2020-03-22,10,False
2020-03-29,3,False
2020-04-05,7,False
2020-04-12,7,False
2020-04-19,4,False
2020-04-26,0,True
