date,abiti da cerimonia,isPartial
2018-01-07,36,False
2018-01-14,52,False
2018-01-21,61,False
2018-01-28,45,False
2018-02-04,54,False
2018-02-11,41,False
2018-02-18,39,False
2018-02-25,47,False
2018-03-04,10,False
2018-03-11,61,False
2018-03-18,49,False
2018-03-25,53,False
2018-04-01,75,False
2018-04-08,72,False
2018-04-15,42,False
2018-04-22,44,False
2018-04-29,100,False
2018-05-06,36,False
2018-05-13,62,False
2018-05-20,26,False
2018-05-27,27,False
2018-06-03,21,False
2018-06-10,34,False
2018-06-17,55,False
2018-06-24,44,False
2018-07-01,56,False
2018-07-08,35,False
2018-07-15,35,False
2018-07-22,39,False
2018-07-29,24,False
2018-08-05,14,False
2018-08-12,13,False
2018-08-19,13,False
2018-08-26,27,False
2018-09-02,42,False
2018-09-09,35,False
2018-09-16,15,False
2018-09-23,20,False
2018-09-30,10,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,31,False
2018-10-28,5,False
2018-11-04,20,False
2018-11-11,16,False
2018-11-18,10,False
2018-11-25,10,False
2018-12-02,16,False
2018-12-09,16,False
2018-12-16,0,False
2018-12-23,34,False
2018-12-30,10,False
2019-01-06,20,False
2019-01-13,45,False
2019-01-20,32,False
2019-01-27,37,False
2019-02-03,36,False
2019-02-10,37,False
2019-02-17,48,False
2019-02-24,28,False
2019-03-03,65,False
2019-03-10,28,False
2019-03-17,59,False
2019-03-24,62,False
2019-03-31,62,False
2019-04-07,33,False
2019-04-14,34,False
2019-04-21,35,False
2019-04-28,50,False
2019-05-05,47,False
2019-05-12,37,False
2019-05-19,37,False
2019-05-26,26,False
2019-06-02,19,False
2019-06-09,10,False
2019-06-16,39,False
2019-06-23,24,False
2019-06-30,38,False
2019-07-07,31,False
2019-07-14,27,False
2019-07-21,38,False
2019-07-28,18,False
2019-08-04,5,False
2019-08-11,23,False
2019-08-18,22,False
2019-08-25,14,False
2019-09-01,22,False
2019-09-08,17,False
2019-09-15,13,False
2019-09-22,13,False
2019-09-29,9,False
2019-10-06,18,False
2019-10-13,59,False
2019-10-20,18,False
2019-10-27,4,False
2019-11-03,17,False
2019-11-10,4,False
2019-11-17,9,False
2019-11-24,13,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,14,False
2019-12-29,18,False
2020-01-05,17,False
2020-01-12,62,False
2020-01-19,47,False
2020-01-26,21,False
2020-02-02,36,False
2020-02-09,30,False
2020-02-16,21,False
2020-02-23,32,False
2020-03-01,23,False
2020-03-08,4,False
2020-03-15,4,False
2020-03-22,7,False
2020-03-29,13,False
2020-04-05,7,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,12,True
