date,fioraio fiori,isPartial
2018-01-07,29,False
2018-01-14,58,False
2018-01-21,28,False
2018-01-28,0,False
2018-02-04,41,False
2018-02-11,93,False
2018-02-18,51,False
2018-02-25,0,False
2018-03-04,50,False
2018-03-11,0,False
2018-03-18,39,False
2018-03-25,41,False
2018-04-01,42,False
2018-04-08,38,False
2018-04-15,39,False
2018-04-22,0,False
2018-04-29,26,False
2018-05-06,100,False
2018-05-13,25,False
2018-05-20,76,False
2018-05-27,26,False
2018-06-03,40,False
2018-06-10,25,False
2018-06-17,25,False
2018-06-24,27,False
2018-07-01,53,False
2018-07-08,27,False
2018-07-15,27,False
2018-07-22,81,False
2018-07-29,41,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,0,False
2018-09-16,49,False
2018-09-23,38,False
2018-09-30,0,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,50,False
2018-10-28,25,False
2018-11-04,36,False
2018-11-11,37,False
2018-11-18,51,False
2018-11-25,26,False
2018-12-02,23,False
2018-12-09,39,False
2018-12-16,55,False
2018-12-23,68,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,55,False
2019-02-17,28,False
2019-02-24,25,False
2019-03-03,44,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,86,False
2019-03-31,28,False
2019-04-07,26,False
2019-04-14,0,False
2019-04-21,64,False
2019-04-28,27,False
2019-05-05,50,False
2019-05-12,54,False
2019-05-19,28,False
2019-05-26,0,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,0,False
2019-06-23,29,False
2019-06-30,45,False
2019-07-07,27,False
2019-07-14,30,False
2019-07-21,29,False
2019-07-28,64,False
2019-08-04,34,False
2019-08-11,37,False
2019-08-18,0,False
2019-08-25,46,False
2019-09-01,26,False
2019-09-08,28,False
2019-09-15,0,False
2019-09-22,67,False
2019-09-29,40,False
2019-10-06,27,False
2019-10-13,55,False
2019-10-20,27,False
2019-10-27,81,False
2019-11-03,26,False
2019-11-10,26,False
2019-11-17,79,False
2019-11-24,0,False
2019-12-01,27,False
2019-12-08,0,False
2019-12-15,69,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,26,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,64,False
2020-02-16,51,False
2020-02-23,25,False
2020-03-01,37,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,58,False
2020-04-05,24,False
2020-04-12,49,False
2020-04-19,69,False
2020-04-26,81,True
