date,video buon compleanno,isPartial
2018-01-07,50,False
2018-01-14,73,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,69,False
2018-02-11,25,False
2018-02-18,96,False
2018-02-25,47,False
2018-03-04,48,False
2018-03-11,73,False
2018-03-18,74,False
2018-03-25,0,False
2018-04-01,53,False
2018-04-08,72,False
2018-04-15,26,False
2018-04-22,52,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,100,False
2018-05-20,50,False
2018-05-27,50,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,40,False
2018-06-24,28,False
2018-07-01,54,False
2018-07-08,27,False
2018-07-15,56,False
2018-07-22,57,False
2018-07-29,59,False
2018-08-05,65,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,72,False
2018-09-02,82,False
2018-09-09,27,False
2018-09-16,52,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,74,False
2018-11-11,0,False
2018-11-18,48,False
2018-11-25,0,False
2018-12-02,76,False
2018-12-09,38,False
2018-12-16,67,False
2018-12-23,30,False
2018-12-30,28,False
2019-01-06,49,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,67,False
2019-02-03,46,False
2019-02-10,68,False
2019-02-17,47,False
2019-02-24,24,False
2019-03-03,62,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,35,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,26,False
2019-04-28,37,False
2019-05-05,48,False
2019-05-12,47,False
2019-05-19,46,False
2019-05-26,23,False
2019-06-02,23,False
2019-06-09,23,False
2019-06-16,36,False
2019-06-23,49,False
2019-06-30,48,False
2019-07-07,98,False
2019-07-14,0,False
2019-07-21,52,False
2019-07-28,27,False
2019-08-04,70,False
2019-08-11,62,False
2019-08-18,42,False
2019-08-25,25,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,22,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,23,False
2019-10-20,21,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,33,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,55,False
2019-12-08,23,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,0,False
2020-01-12,40,False
2020-01-19,41,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,41,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,0,False
2020-03-08,36,False
2020-03-15,37,False
2020-03-22,34,False
2020-03-29,0,False
2020-04-05,47,False
2020-04-12,57,False
2020-04-19,45,False
2020-04-26,46,True
