date,video buon compleanno,isPartial
2018-01-07,0,False
2018-01-14,31,False
2018-01-21,0,False
2018-01-28,62,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,29,False
2018-02-25,30,False
2018-03-04,0,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,32,False
2018-04-15,47,False
2018-04-22,97,False
2018-04-29,0,False
2018-05-06,31,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,30,False
2018-06-24,61,False
2018-07-01,0,False
2018-07-08,30,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,26,False
2018-08-12,33,False
2018-08-19,22,False
2018-08-26,52,False
2018-09-02,0,False
2018-09-09,33,False
2018-09-16,0,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,50,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,67,False
2018-11-18,33,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,33,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,83,False
2019-01-06,0,False
2019-01-13,32,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,62,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,33,False
2019-03-10,32,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,48,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,64,False
2019-05-05,32,False
2019-05-12,0,False
2019-05-19,32,False
2019-05-26,30,False
2019-06-02,66,False
2019-06-09,34,False
2019-06-16,100,False
2019-06-23,0,False
2019-06-30,67,False
2019-07-07,32,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,57,False
2019-09-08,32,False
2019-09-15,0,False
2019-09-22,33,False
2019-09-29,32,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,83,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,33,False
2019-11-24,31,False
2019-12-01,33,False
2019-12-08,66,False
2019-12-15,33,False
2019-12-22,0,False
2019-12-29,48,False
2020-01-05,63,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,44,False
2020-02-02,29,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,84,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,47,False
2020-04-05,25,False
2020-04-12,26,False
2020-04-19,23,False
2020-04-26,0,True
