date,video buon compleanno,isPartial
2018-01-07,49,False
2018-01-14,30,False
2018-01-21,39,False
2018-01-28,57,False
2018-02-04,19,False
2018-02-11,40,False
2018-02-18,20,False
2018-02-25,30,False
2018-03-04,61,False
2018-03-11,100,False
2018-03-18,31,False
2018-03-25,21,False
2018-04-01,33,False
2018-04-08,63,False
2018-04-15,33,False
2018-04-22,78,False
2018-04-29,43,False
2018-05-06,32,False
2018-05-13,21,False
2018-05-20,42,False
2018-05-27,32,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,42,False
2018-06-24,63,False
2018-07-01,21,False
2018-07-08,52,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,32,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,30,False
2018-09-02,20,False
2018-09-09,31,False
2018-09-16,41,False
2018-09-23,31,False
2018-09-30,21,False
2018-10-07,43,False
2018-10-14,44,False
2018-10-21,31,False
2018-10-28,0,False
2018-11-04,41,False
2018-11-11,21,False
2018-11-18,21,False
2018-11-25,42,False
2018-12-02,44,False
2018-12-09,0,False
2018-12-16,23,False
2018-12-23,25,False
2018-12-30,45,False
2019-01-06,41,False
2019-01-13,20,False
2019-01-20,29,False
2019-01-27,57,False
2019-02-03,29,False
2019-02-10,19,False
2019-02-17,40,False
2019-02-24,40,False
2019-03-03,60,False
2019-03-10,20,False
2019-03-17,41,False
2019-03-24,21,False
2019-03-31,20,False
2019-04-07,59,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,39,False
2019-05-05,38,False
2019-05-12,19,False
2019-05-19,19,False
2019-05-26,37,False
2019-06-02,40,False
2019-06-09,40,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,40,False
2019-07-07,20,False
2019-07-14,43,False
2019-07-21,21,False
2019-07-28,62,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,48,False
2019-09-01,37,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,77,False
2019-09-29,38,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,56,False
2019-10-27,37,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,38,False
2019-12-08,0,False
2019-12-15,38,False
2019-12-22,44,False
2019-12-29,41,False
2020-01-05,28,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,18,False
2020-02-02,26,False
2020-02-09,18,False
2020-02-16,35,False
2020-02-23,34,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,30,False
2020-03-29,38,False
2020-04-05,48,False
2020-04-12,32,False
2020-04-19,62,False
2020-04-26,0,True
