date,sito matrimonio,isPartial
2018-01-07,56,False
2018-01-14,18,False
2018-01-21,55,False
2018-01-28,72,False
2018-02-04,71,False
2018-02-11,27,False
2018-02-18,35,False
2018-02-25,52,False
2018-03-04,44,False
2018-03-11,45,False
2018-03-18,72,False
2018-03-25,38,False
2018-04-01,49,False
2018-04-08,63,False
2018-04-15,56,False
2018-04-22,38,False
2018-04-29,37,False
2018-05-06,45,False
2018-05-13,54,False
2018-05-20,100,False
2018-05-27,55,False
2018-06-03,55,False
2018-06-10,70,False
2018-06-17,36,False
2018-06-24,64,False
2018-07-01,36,False
2018-07-08,36,False
2018-07-15,19,False
2018-07-22,46,False
2018-07-29,19,False
2018-08-05,29,False
2018-08-12,41,False
2018-08-19,20,False
2018-08-26,47,False
2018-09-02,62,False
2018-09-09,45,False
2018-09-16,53,False
2018-09-23,53,False
2018-09-30,45,False
2018-10-07,46,False
2018-10-14,56,False
2018-10-21,18,False
2018-10-28,27,False
2018-11-04,35,False
2018-11-11,64,False
2018-11-18,18,False
2018-11-25,45,False
2018-12-02,0,False
2018-12-09,18,False
2018-12-16,0,False
2018-12-23,21,False
2018-12-30,20,False
2019-01-06,27,False
2019-01-13,44,False
2019-01-20,26,False
2019-01-27,67,False
2019-02-03,51,False
2019-02-10,26,False
2019-02-17,18,False
2019-02-24,26,False
2019-03-03,46,False
2019-03-10,27,False
2019-03-17,64,False
2019-03-24,36,False
2019-03-31,54,False
2019-04-07,89,False
2019-04-14,19,False
2019-04-21,19,False
2019-04-28,54,False
2019-05-05,78,False
2019-05-12,43,False
2019-05-19,68,False
2019-05-26,33,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,56,False
2019-06-30,37,False
2019-07-07,44,False
2019-07-14,27,False
2019-07-21,37,False
2019-07-28,56,False
2019-08-04,19,False
2019-08-11,21,False
2019-08-18,48,False
2019-08-25,61,False
2019-09-01,41,False
2019-09-08,34,False
2019-09-15,50,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,34,False
2019-10-13,34,False
2019-10-20,16,False
2019-10-27,66,False
2019-11-03,16,False
2019-11-10,16,False
2019-11-17,16,False
2019-11-24,16,False
2019-12-01,42,False
2019-12-08,17,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,19,False
2020-01-05,25,False
2020-01-12,23,False
2020-01-19,0,False
2020-01-26,62,False
2020-02-02,31,False
2020-02-09,40,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,29,False
2020-03-08,36,False
2020-03-15,21,False
2020-03-22,26,False
2020-03-29,0,False
2020-04-05,22,False
2020-04-12,22,False
2020-04-19,27,False
2020-04-26,0,True
