date,Badeteich,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,11,False
2018-02-11,10,False
2018-02-18,10,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,10,False
2018-03-18,20,False
2018-03-25,0,False
2018-04-01,10,False
2018-04-08,11,False
2018-04-15,11,False
2018-04-22,10,False
2018-04-29,21,False
2018-05-06,10,False
2018-05-13,0,False
2018-05-20,10,False
2018-05-27,31,False
2018-06-03,10,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,15,False
2018-07-08,25,False
2018-07-15,21,False
2018-07-22,36,False
2018-07-29,100,False
2018-08-05,80,False
2018-08-12,21,False
2018-08-19,74,False
2018-08-26,19,False
2018-09-02,0,False
2018-09-09,10,False
2018-09-16,15,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,10,False
2018-10-14,15,False
2018-10-21,10,False
2018-10-28,10,False
2018-11-04,9,False
2018-11-11,10,False
2018-11-18,0,False
2018-11-25,9,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,9,False
2019-01-13,0,False
2019-01-20,9,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,9,False
2019-02-24,0,False
2019-03-03,9,False
2019-03-10,9,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,19,False
2019-04-07,9,False
2019-04-14,10,False
2019-04-21,14,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,9,False
2019-05-19,0,False
2019-05-26,9,False
2019-06-02,27,False
2019-06-09,76,False
2019-06-16,78,False
2019-06-23,51,False
2019-06-30,93,False
2019-07-07,27,False
2019-07-14,24,False
2019-07-21,29,False
2019-07-28,18,False
2019-08-04,19,False
2019-08-11,9,False
2019-08-18,22,False
2019-08-25,8,False
2019-09-01,33,False
2019-09-08,9,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,8,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,8,False
2019-10-27,0,False
2019-11-03,8,False
2019-11-10,8,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,9,False
2019-12-22,9,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,7,False
2020-01-19,0,False
2020-01-26,8,False
2020-02-02,0,False
2020-02-09,8,False
2020-02-16,8,False
2020-02-23,8,False
2020-03-01,8,False
2020-03-08,7,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,7,False
2020-04-05,7,False
2020-04-12,7,False
2020-04-19,7,False
2020-04-26,20,False
2020-05-03,14,False
2020-05-10,0,False
2020-05-17,8,False
2020-05-24,21,False
2020-05-31,14,False
2020-06-07,36,False
2020-06-14,35,False
2020-06-21,15,False
2020-06-28,38,False
2020-07-05,77,False
