date,Türschloss öffnen,isPartial
2018-01-07,38,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,81,False
2018-02-18,0,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,43,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,40,False
2018-04-29,41,False
2018-05-06,41,False
2018-05-13,59,False
2018-05-20,42,False
2018-05-27,84,False
2018-06-03,39,False
2018-06-10,38,False
2018-06-17,38,False
2018-06-24,0,False
2018-07-01,37,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,38,False
2018-07-29,39,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,81,False
2018-09-09,0,False
2018-09-16,40,False
2018-09-23,0,False
2018-09-30,39,False
2018-10-07,39,False
2018-10-14,39,False
2018-10-21,39,False
2018-10-28,0,False
2018-11-04,76,False
2018-11-11,0,False
2018-11-18,37,False
2018-11-25,38,False
2018-12-02,56,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,45,False
2018-12-30,81,False
2019-01-06,37,False
2019-01-13,0,False
2019-01-20,36,False
2019-01-27,36,False
2019-02-03,36,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,38,False
2019-03-10,0,False
2019-03-17,38,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,37,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,38,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,38,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,41,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,0,False
2019-09-15,37,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,35,False
2019-11-03,0,False
2019-11-10,35,False
2019-11-17,0,False
2019-11-24,34,False
2019-12-01,36,False
2019-12-08,35,False
2019-12-15,0,False
2019-12-22,42,False
2019-12-29,77,False
2020-01-05,100,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,67,False
2020-02-02,33,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,30,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,62,False
