date,cours anglais enfant,isPartial
2018-01-07,38,False
2018-01-14,24,False
2018-01-21,27,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,33,False
2018-02-18,17,False
2018-02-25,17,False
2018-03-04,41,False
2018-03-11,25,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,26,False
2018-04-08,17,False
2018-04-15,27,False
2018-04-22,35,False
2018-04-29,40,False
2018-05-06,35,False
2018-05-13,17,False
2018-05-20,34,False
2018-05-27,44,False
2018-06-03,28,False
2018-06-10,32,False
2018-06-17,25,False
2018-06-24,34,False
2018-07-01,43,False
2018-07-08,23,False
2018-07-15,45,False
2018-07-22,36,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,28,False
2018-08-19,46,False
2018-08-26,46,False
2018-09-02,85,False
2018-09-09,68,False
2018-09-16,39,False
2018-09-23,51,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,33,False
2018-11-11,16,False
2018-11-18,22,False
2018-11-25,27,False
2018-12-02,41,False
2018-12-09,17,False
2018-12-16,0,False
2018-12-23,39,False
2018-12-30,18,False
2019-01-06,33,False
2019-01-13,33,False
2019-01-20,24,False
2019-01-27,32,False
2019-02-03,16,False
2019-02-10,17,False
2019-02-17,17,False
2019-02-24,17,False
2019-03-03,16,False
2019-03-10,16,False
2019-03-17,0,False
2019-03-24,29,False
2019-03-31,17,False
2019-04-07,40,False
2019-04-14,34,False
2019-04-21,34,False
2019-04-28,16,False
2019-05-05,33,False
2019-05-12,27,False
2019-05-19,16,False
2019-05-26,33,False
2019-06-02,23,False
2019-06-09,27,False
2019-06-16,41,False
2019-06-23,16,False
2019-06-30,25,False
2019-07-07,33,False
2019-07-14,17,False
2019-07-21,17,False
2019-07-28,18,False
2019-08-04,35,False
2019-08-11,52,False
2019-08-18,69,False
2019-08-25,60,False
2019-09-01,100,False
2019-09-08,47,False
2019-09-15,37,False
2019-09-22,36,False
2019-09-29,20,False
2019-10-06,21,False
2019-10-13,41,False
2019-10-20,16,False
2019-10-27,30,False
2019-11-03,25,False
2019-11-10,15,False
2019-11-17,22,False
2019-11-24,19,False
2019-12-01,15,False
2019-12-08,30,False
2019-12-15,22,False
2019-12-22,33,False
2019-12-29,48,False
2020-01-05,24,False
2020-01-12,35,False
2020-01-19,22,False
2020-01-26,14,False
2020-02-02,24,False
2020-02-09,29,False
2020-02-16,15,False
2020-02-23,14,False
2020-03-01,14,False
2020-03-08,21,False
2020-03-15,26,False
2020-03-22,25,False
2020-03-29,32,False
2020-04-05,13,False
2020-04-12,13,False
2020-04-19,45,False
2020-04-26,24,False
2020-05-03,37,False
2020-05-10,19,False
2020-05-17,14,False
2020-05-24,22,False
2020-05-31,21,False
2020-06-07,45,False
2020-06-14,20,False
2020-06-21,50,True
