date,cours anglais enfant,isPartial
2018-01-07,26,False
2018-01-14,13,False
2018-01-21,26,False
2018-01-28,19,False
2018-02-04,0,False
2018-02-11,13,False
2018-02-18,0,False
2018-02-25,13,False
2018-03-04,13,False
2018-03-11,20,False
2018-03-18,26,False
2018-03-25,26,False
2018-04-01,13,False
2018-04-08,53,False
2018-04-15,0,False
2018-04-22,13,False
2018-04-29,20,False
2018-05-06,28,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,39,False
2018-06-10,25,False
2018-06-17,33,False
2018-06-24,26,False
2018-07-01,19,False
2018-07-08,27,False
2018-07-15,28,False
2018-07-22,21,False
2018-07-29,29,False
2018-08-05,14,False
2018-08-12,0,False
2018-08-19,36,False
2018-08-26,27,False
2018-09-02,61,False
2018-09-09,94,False
2018-09-16,26,False
2018-09-23,33,False
2018-09-30,13,False
2018-10-07,13,False
2018-10-14,27,False
2018-10-21,14,False
2018-10-28,14,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,13,False
2018-12-02,39,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,15,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,20,False
2019-01-20,25,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,13,False
2019-02-17,13,False
2019-02-24,13,False
2019-03-03,19,False
2019-03-10,26,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,51,False
2019-04-07,46,False
2019-04-14,20,False
2019-04-21,13,False
2019-04-28,13,False
2019-05-05,19,False
2019-05-12,26,False
2019-05-19,13,False
2019-05-26,0,False
2019-06-02,36,False
2019-06-09,62,False
2019-06-16,26,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,20,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,28,False
2019-08-18,34,False
2019-08-25,38,False
2019-09-01,100,False
2019-09-08,75,False
2019-09-15,31,False
2019-09-22,54,False
2019-09-29,18,False
2019-10-06,12,False
2019-10-13,61,False
2019-10-20,12,False
2019-10-27,12,False
2019-11-03,12,False
2019-11-10,12,False
2019-11-17,12,False
2019-11-24,23,False
2019-12-01,12,False
2019-12-08,11,False
2019-12-15,0,False
2019-12-22,39,False
2019-12-29,19,False
2020-01-05,45,False
2020-01-12,17,False
2020-01-19,34,False
2020-01-26,22,False
2020-02-02,17,False
2020-02-09,0,False
2020-02-16,11,False
2020-02-23,11,False
2020-03-01,0,False
2020-03-08,16,False
2020-03-15,41,False
2020-03-22,20,False
2020-03-29,30,False
2020-04-05,20,False
2020-04-12,10,False
2020-04-19,15,False
2020-04-26,10,False
2020-05-03,24,False
2020-05-10,0,False
2020-05-17,11,False
2020-05-24,26,False
2020-05-31,10,False
2020-06-07,25,False
2020-06-14,52,False
