date,album matrimonio,isPartial
2018-01-07,46,False
2018-01-14,39,False
2018-01-21,64,False
2018-01-28,26,False
2018-02-04,38,False
2018-02-11,26,False
2018-02-18,56,False
2018-02-25,37,False
2018-03-04,31,False
2018-03-11,63,False
2018-03-18,51,False
2018-03-25,27,False
2018-04-01,21,False
2018-04-08,32,False
2018-04-15,46,False
2018-04-22,54,False
2018-04-29,20,False
2018-05-06,38,False
2018-05-13,32,False
2018-05-20,19,False
2018-05-27,46,False
2018-06-03,72,False
2018-06-10,44,False
2018-06-17,39,False
2018-06-24,26,False
2018-07-01,32,False
2018-07-08,19,False
2018-07-15,33,False
2018-07-22,39,False
2018-07-29,40,False
2018-08-05,27,False
2018-08-12,15,False
2018-08-19,100,False
2018-08-26,79,False
2018-09-02,69,False
2018-09-09,57,False
2018-09-16,37,False
2018-09-23,70,False
2018-09-30,70,False
2018-10-07,39,False
2018-10-14,39,False
2018-10-21,45,False
2018-10-28,63,False
2018-11-04,56,False
2018-11-11,45,False
2018-11-18,50,False
2018-11-25,45,False
2018-12-02,45,False
2018-12-09,64,False
2018-12-16,27,False
2018-12-23,31,False
2018-12-30,35,False
2019-01-06,39,False
2019-01-13,44,False
2019-01-20,55,False
2019-01-27,18,False
2019-02-03,55,False
2019-02-10,18,False
2019-02-17,44,False
2019-02-24,19,False
2019-03-03,45,False
2019-03-10,32,False
2019-03-17,52,False
2019-03-24,58,False
2019-03-31,25,False
2019-04-07,44,False
2019-04-14,26,False
2019-04-21,41,False
2019-04-28,45,False
2019-05-05,49,False
2019-05-12,43,False
2019-05-19,55,False
2019-05-26,35,False
2019-06-02,57,False
2019-06-09,38,False
2019-06-16,32,False
2019-06-23,52,False
2019-06-30,26,False
2019-07-07,12,False
2019-07-14,39,False
2019-07-21,33,False
2019-07-28,13,False
2019-08-04,82,False
2019-08-11,44,False
2019-08-18,54,False
2019-08-25,31,False
2019-09-01,35,False
2019-09-08,36,False
2019-09-15,82,False
2019-09-22,35,False
2019-09-29,48,False
2019-10-06,36,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,18,False
2019-11-03,51,False
2019-11-10,23,False
2019-11-17,29,False
2019-11-24,74,False
2019-12-01,36,False
2019-12-08,36,False
2019-12-15,24,False
2019-12-22,14,False
2019-12-29,27,False
2020-01-05,29,False
2020-01-12,61,False
2020-01-19,17,False
2020-01-26,27,False
2020-02-02,11,False
2020-02-09,28,False
2020-02-16,45,False
2020-02-23,52,False
2020-03-01,31,False
2020-03-08,10,False
2020-03-15,20,False
2020-03-22,28,False
2020-03-29,39,False
2020-04-05,20,False
2020-04-12,15,False
2020-04-19,38,False
2020-04-26,0,True
