date,Gartenideen,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,30,False
2018-02-04,31,False
2018-02-11,30,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,30,False
2018-03-11,59,False
2018-03-18,45,False
2018-03-25,64,False
2018-04-01,100,False
2018-04-08,32,False
2018-04-15,32,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,33,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,49,False
2018-06-03,31,False
2018-06-10,60,False
2018-06-17,31,False
2018-06-24,60,False
2018-07-01,0,False
2018-07-08,31,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,66,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,32,False
2018-08-26,62,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,63,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,29,False
2019-02-17,0,False
2019-02-24,28,False
2019-03-03,43,False
2019-03-10,28,False
2019-03-17,30,False
2019-03-24,29,False
2019-03-31,30,False
2019-04-07,89,False
2019-04-14,32,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,29,False
2019-05-12,58,False
2019-05-19,86,False
2019-05-26,0,False
2019-06-02,90,False
2019-06-09,30,False
2019-06-16,60,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,29,False
2019-07-14,31,False
2019-07-21,48,False
2019-07-28,31,False
2019-08-04,48,False
2019-08-11,0,False
2019-08-18,60,False
2019-08-25,30,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,28,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,25,False
2020-01-19,0,False
2020-01-26,25,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,37,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,24,False
2020-04-05,65,False
2020-04-12,63,False
2020-04-19,49,False
2020-04-26,61,False
2020-05-03,50,False
2020-05-10,37,False
2020-05-17,53,False
2020-05-24,37,False
2020-05-31,25,False
2020-06-07,25,False
2020-06-14,24,False
2020-06-21,25,False
2020-06-28,50,False
2020-07-05,53,False
