date,Musik Hochzeit,isPartial
2018-01-07,72,False
2018-01-14,35,False
2018-01-21,24,False
2018-01-28,0,False
2018-02-04,49,False
2018-02-11,0,False
2018-02-18,49,False
2018-02-25,25,False
2018-03-04,24,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,27,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,0,False
2018-04-22,50,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,66,False
2018-05-27,66,False
2018-06-03,0,False
2018-06-10,72,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,48,False
2018-07-22,36,False
2018-07-29,25,False
2018-08-05,25,False
2018-08-12,67,False
2018-08-19,53,False
2018-08-26,52,False
2018-09-02,26,False
2018-09-09,37,False
2018-09-16,100,False
2018-09-23,62,False
2018-09-30,25,False
2018-10-07,49,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,49,False
2018-11-04,35,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,24,False
2018-12-02,35,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,29,False
2018-12-30,26,False
2019-01-06,23,False
2019-01-13,22,False
2019-01-20,22,False
2019-01-27,33,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,59,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,72,False
2019-03-24,0,False
2019-03-31,49,False
2019-04-07,24,False
2019-04-14,25,False
2019-04-21,62,False
2019-04-28,47,False
2019-05-05,45,False
2019-05-12,69,False
2019-05-19,23,False
2019-05-26,0,False
2019-06-02,59,False
2019-06-09,50,False
2019-06-16,37,False
2019-06-23,24,False
2019-06-30,46,False
2019-07-07,22,False
2019-07-14,0,False
2019-07-21,24,False
2019-07-28,23,False
2019-08-04,25,False
2019-08-11,50,False
2019-08-18,51,False
2019-08-25,25,False
2019-09-01,35,False
2019-09-08,0,False
2019-09-15,82,False
2019-09-22,34,False
2019-09-29,23,False
2019-10-06,22,False
2019-10-13,0,False
2019-10-20,22,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,22,False
2019-11-17,43,False
2019-11-24,22,False
2019-12-01,45,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,48,False
2020-01-05,21,False
2020-01-12,41,False
2020-01-19,83,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,20,False
2020-02-16,42,False
2020-02-23,21,False
2020-03-01,0,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,28,False
2020-03-29,19,False
2020-04-05,21,False
2020-04-12,0,True
