date,Tartas de Boda,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,36,False
2018-01-28,12,False
2018-02-04,23,False
2018-02-11,49,False
2018-02-18,60,False
2018-02-25,46,False
2018-03-04,35,False
2018-03-11,23,False
2018-03-18,36,False
2018-03-25,13,False
2018-04-01,24,False
2018-04-08,11,False
2018-04-15,12,False
2018-04-22,12,False
2018-04-29,12,False
2018-05-06,12,False
2018-05-13,36,False
2018-05-20,70,False
2018-05-27,23,False
2018-06-03,23,False
2018-06-10,23,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,12,False
2018-07-15,38,False
2018-07-22,0,False
2018-07-29,75,False
2018-08-05,100,False
2018-08-12,51,False
2018-08-19,13,False
2018-08-26,0,False
2018-09-02,47,False
2018-09-09,0,False
2018-09-16,35,False
2018-09-23,34,False
2018-09-30,70,False
2018-10-07,24,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,12,False
2018-11-04,22,False
2018-11-11,0,False
2018-11-18,22,False
2018-11-25,11,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,13,False
2019-01-06,12,False
2019-01-13,11,False
2019-01-20,11,False
2019-01-27,22,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,47,False
2019-03-10,36,False
2019-03-17,12,False
2019-03-24,59,False
2019-03-31,33,False
2019-04-07,46,False
2019-04-14,0,False
2019-04-21,11,False
2019-04-28,12,False
2019-05-05,34,False
2019-05-12,0,False
2019-05-19,45,False
2019-05-26,11,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,12,False
2019-06-23,35,False
2019-06-30,59,False
2019-07-07,34,False
2019-07-14,24,False
2019-07-21,48,False
2019-07-28,12,False
2019-08-04,0,False
2019-08-11,37,False
2019-08-18,12,False
2019-08-25,23,False
2019-09-01,11,False
2019-09-08,43,False
2019-09-15,32,False
2019-09-22,32,False
2019-09-29,11,False
2019-10-06,42,False
2019-10-13,10,False
2019-10-20,21,False
2019-10-27,0,False
2019-11-03,10,False
2019-11-10,0,False
2019-11-17,41,False
2019-11-24,20,False
2019-12-01,11,False
2019-12-08,11,False
2019-12-15,10,False
2019-12-22,35,False
2019-12-29,11,False
2020-01-05,52,False
2020-01-12,49,False
2020-01-19,29,False
2020-01-26,30,False
2020-02-02,10,False
2020-02-09,10,False
2020-02-16,10,False
2020-02-23,29,False
2020-03-01,9,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
