date,ricevimento matrimonio,isPartial
2018-01-07,14,False
2018-01-14,18,False
2018-01-21,22,False
2018-01-28,13,False
2018-02-04,13,False
2018-02-11,9,False
2018-02-18,18,False
2018-02-25,17,False
2018-03-04,4,False
2018-03-11,18,False
2018-03-18,9,False
2018-03-25,9,False
2018-04-01,15,False
2018-04-08,18,False
2018-04-15,0,False
2018-04-22,5,False
2018-04-29,18,False
2018-05-06,4,False
2018-05-13,45,False
2018-05-20,100,False
2018-05-27,32,False
2018-06-03,18,False
2018-06-10,22,False
2018-06-17,13,False
2018-06-24,5,False
2018-07-01,4,False
2018-07-08,9,False
2018-07-15,14,False
2018-07-22,5,False
2018-07-29,9,False
2018-08-05,19,False
2018-08-12,0,False
2018-08-19,15,False
2018-08-26,28,False
2018-09-02,27,False
2018-09-09,13,False
2018-09-16,22,False
2018-09-23,0,False
2018-09-30,4,False
2018-10-07,14,False
2018-10-14,23,False
2018-10-21,18,False
2018-10-28,9,False
2018-11-04,4,False
2018-11-11,9,False
2018-11-18,4,False
2018-11-25,5,False
2018-12-02,5,False
2018-12-09,9,False
2018-12-16,14,False
2018-12-23,11,False
2018-12-30,5,False
2019-01-06,9,False
2019-01-13,4,False
2019-01-20,0,False
2019-01-27,17,False
2019-02-03,4,False
2019-02-10,17,False
2019-02-17,13,False
2019-02-24,4,False
2019-03-03,18,False
2019-03-10,13,False
2019-03-17,9,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,4,False
2019-04-14,5,False
2019-04-21,10,False
2019-04-28,18,False
2019-05-05,13,False
2019-05-12,4,False
2019-05-19,8,False
2019-05-26,21,False
2019-06-02,0,False
2019-06-09,13,False
2019-06-16,18,False
2019-06-23,9,False
2019-06-30,23,False
2019-07-07,4,False
2019-07-14,18,False
2019-07-21,27,False
2019-07-28,23,False
2019-08-04,0,False
2019-08-11,15,False
2019-08-18,9,False
2019-08-25,0,False
2019-09-01,16,False
2019-09-08,9,False
2019-09-15,12,False
2019-09-22,4,False
2019-09-29,17,False
2019-10-06,8,False
2019-10-13,13,False
2019-10-20,4,False
2019-10-27,8,False
2019-11-03,4,False
2019-11-10,0,False
2019-11-17,4,False
2019-11-24,0,False
2019-12-01,13,False
2019-12-08,8,False
2019-12-15,0,False
2019-12-22,10,False
2019-12-29,5,False
2020-01-05,8,False
2020-01-12,4,False
2020-01-19,12,False
2020-01-26,4,False
2020-02-02,11,False
2020-02-09,8,False
2020-02-16,4,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,7,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,7,False
2020-04-19,10,False
2020-04-26,12,True
