date,Hip Hop,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,31,False
2018-01-28,52,False
2018-02-04,52,False
2018-02-11,42,False
2018-02-18,61,False
2018-02-25,20,False
2018-03-04,20,False
2018-03-11,41,False
2018-03-18,20,False
2018-03-25,32,False
2018-04-01,0,False
2018-04-08,50,False
2018-04-15,43,False
2018-04-22,54,False
2018-04-29,19,False
2018-05-06,40,False
2018-05-13,20,False
2018-05-20,100,False
2018-05-27,30,False
2018-06-03,39,False
2018-06-10,36,False
2018-06-17,56,False
2018-06-24,44,False
2018-07-01,41,False
2018-07-08,42,False
2018-07-15,33,False
2018-07-22,49,False
2018-07-29,25,False
2018-08-05,23,False
2018-08-12,47,False
2018-08-19,16,False
2018-08-26,34,False
2018-09-02,24,False
2018-09-09,56,False
2018-09-16,0,False
2018-09-23,44,False
2018-09-30,55,False
2018-10-07,59,False
2018-10-14,40,False
2018-10-21,0,False
2018-10-28,31,False
2018-11-04,20,False
2018-11-11,21,False
2018-11-18,51,False
2018-11-25,31,False
2018-12-02,74,False
2018-12-09,32,False
2018-12-16,45,False
2018-12-23,74,False
2018-12-30,23,False
2019-01-06,32,False
2019-01-13,42,False
2019-01-20,29,False
2019-01-27,40,False
2019-02-03,31,False
2019-02-10,21,False
2019-02-17,64,False
2019-02-24,20,False
2019-03-03,0,False
2019-03-10,21,False
2019-03-17,53,False
2019-03-24,21,False
2019-03-31,74,False
2019-04-07,20,False
2019-04-14,63,False
2019-04-21,43,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,40,False
2019-05-19,69,False
2019-05-26,57,False
2019-06-02,30,False
2019-06-09,48,False
2019-06-16,28,False
2019-06-23,28,False
2019-06-30,56,False
2019-07-07,18,False
2019-07-14,17,False
2019-07-21,18,False
2019-07-28,17,False
2019-08-04,25,False
2019-08-11,24,False
2019-08-18,15,False
2019-08-25,23,False
2019-09-01,31,False
2019-09-08,100,False
2019-09-15,43,False
2019-09-22,44,False
2019-09-29,36,False
2019-10-06,54,False
2019-10-13,28,False
2019-10-20,18,False
2019-10-27,0,False
2019-11-03,54,False
2019-11-10,27,False
2019-11-17,36,False
2019-11-24,17,False
2019-12-01,62,False
2019-12-08,28,False
2019-12-15,55,False
2019-12-22,31,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,17,False
2020-01-19,33,False
2020-01-26,17,False
2020-02-02,33,False
2020-02-09,34,False
2020-02-16,17,False
2020-02-23,49,False
2020-03-01,31,False
2020-03-08,29,False
2020-03-15,15,False
2020-03-22,28,False
2020-03-29,22,False
2020-04-05,31,False
2020-04-12,45,False
2020-04-19,14,False
2020-04-26,25,True
