date,Stuhl neu beziehen,isPartial
2018-01-07,31,False
2018-01-14,45,False
2018-01-21,30,False
2018-01-28,30,False
2018-02-04,31,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,31,False
2018-03-18,41,False
2018-03-25,32,False
2018-04-01,66,False
2018-04-08,32,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,32,False
2018-05-06,33,False
2018-05-13,31,False
2018-05-20,0,False
2018-05-27,47,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,46,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,32,False
2018-08-05,32,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,31,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,47,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,78,False
2018-10-21,31,False
2018-10-28,30,False
2018-11-04,30,False
2018-11-11,30,False
2018-11-18,58,False
2018-11-25,40,False
2018-12-02,30,False
2018-12-09,30,False
2018-12-16,31,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,57,False
2019-01-13,28,False
2019-01-20,0,False
2019-01-27,42,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,59,False
2019-02-24,30,False
2019-03-03,29,False
2019-03-10,38,False
2019-03-17,30,False
2019-03-24,29,False
2019-03-31,30,False
2019-04-07,29,False
2019-04-14,32,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,57,False
2019-05-12,30,False
2019-05-19,29,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,30,False
2019-06-16,45,False
2019-06-23,0,False
2019-06-30,59,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,31,False
2019-08-04,31,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,30,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,43,False
2019-09-29,29,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,42,False
2019-11-03,27,False
2019-11-10,27,False
2019-11-17,41,False
2019-11-24,54,False
2019-12-01,27,False
2019-12-08,41,False
2019-12-15,28,False
2019-12-22,48,False
2019-12-29,30,False
2020-01-05,26,False
2020-01-12,100,False
2020-01-19,35,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,25,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,0,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,39,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,23,False
2020-05-03,24,False
2020-05-10,48,False
