date,Terrassenüberdachung,isPartial
2018-01-07,0,False
2018-01-14,43,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,43,False
2018-03-11,42,False
2018-03-18,89,False
2018-03-25,46,False
2018-04-01,95,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,48,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,44,False
2018-06-10,63,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,39,False
2018-07-22,0,False
2018-07-29,80,False
2018-08-05,76,False
2018-08-12,40,False
2018-08-19,0,False
2018-08-26,41,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,44,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,44,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,45,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,42,False
2019-01-13,42,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,43,False
2019-02-17,41,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,44,False
2019-03-31,43,False
2019-04-07,43,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,40,False
2019-05-19,0,False
2019-05-26,40,False
2019-06-02,41,False
2019-06-09,82,False
2019-06-16,39,False
2019-06-23,79,False
2019-06-30,57,False
2019-07-07,37,False
2019-07-14,37,False
2019-07-21,74,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,35,False
2019-08-25,38,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,40,False
2019-09-29,39,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,37,False
2019-11-17,0,False
2019-11-24,39,False
2019-12-01,0,False
2019-12-08,40,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,74,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,36,False
2020-01-26,35,False
2020-02-02,34,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,65,False
2020-03-15,0,False
2020-03-22,30,False
2020-03-29,0,False
2020-04-05,36,False
2020-04-12,100,False
2020-04-19,64,False
2020-04-26,0,False
2020-05-03,34,False
2020-05-10,33,False
2020-05-17,69,False
2020-05-24,51,False
2020-05-31,65,False
2020-06-07,66,False
2020-06-14,31,False
2020-06-21,0,False
2020-06-28,48,False
2020-07-05,32,False
