date,charcutier traiteur,isPartial
2018-01-07,46,False
2018-01-14,51,False
2018-01-21,51,False
2018-01-28,31,False
2018-02-04,41,False
2018-02-11,47,False
2018-02-18,77,False
2018-02-25,49,False
2018-03-04,31,False
2018-03-11,63,False
2018-03-18,63,False
2018-03-25,32,False
2018-04-01,66,False
2018-04-08,31,False
2018-04-15,34,False
2018-04-22,100,False
2018-04-29,49,False
2018-05-06,34,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,61,False
2018-06-10,40,False
2018-06-17,45,False
2018-06-24,62,False
2018-07-01,61,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,35,False
2018-07-29,55,False
2018-08-05,77,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,50,False
2018-09-02,31,False
2018-09-09,61,False
2018-09-16,61,False
2018-09-23,52,False
2018-09-30,31,False
2018-10-07,41,False
2018-10-14,29,False
2018-10-21,70,False
2018-10-28,33,False
2018-11-04,31,False
2018-11-11,29,False
2018-11-18,30,False
2018-11-25,41,False
2018-12-02,62,False
2018-12-09,42,False
2018-12-16,85,False
2018-12-23,78,False
2018-12-30,59,False
2019-01-06,31,False
2019-01-13,62,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,48,False
2019-02-10,51,False
2019-02-17,62,False
2019-02-24,47,False
2019-03-03,41,False
2019-03-10,62,False
2019-03-17,31,False
2019-03-24,49,False
2019-03-31,63,False
2019-04-07,49,False
2019-04-14,33,False
2019-04-21,35,False
2019-04-28,35,False
2019-05-05,34,False
2019-05-12,44,False
2019-05-19,48,False
2019-05-26,99,False
2019-06-02,49,False
2019-06-09,49,False
2019-06-16,48,False
2019-06-23,65,False
2019-06-30,33,False
2019-07-07,34,False
2019-07-14,71,False
2019-07-21,75,False
2019-07-28,79,False
2019-08-04,42,False
2019-08-11,43,False
2019-08-18,41,False
2019-08-25,60,False
2019-09-01,32,False
2019-09-08,95,False
2019-09-15,63,False
2019-09-22,61,False
2019-09-29,30,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,64,False
2019-10-27,32,False
2019-11-03,45,False
2019-11-10,0,False
2019-11-17,93,False
2019-11-24,30,False
2019-12-01,69,False
2019-12-08,60,False
2019-12-15,52,False
2019-12-22,87,False
2019-12-29,53,False
2020-01-05,59,False
2020-01-12,30,False
2020-01-19,72,False
2020-01-26,0,False
2020-02-02,45,False
2020-02-09,61,False
2020-02-16,31,False
2020-02-23,73,False
2020-03-01,48,False
2020-03-08,43,False
2020-03-15,45,False
2020-03-22,92,False
2020-03-29,31,False
2020-04-05,40,False
2020-04-12,46,False
2020-04-19,91,False
2020-04-26,59,False
2020-05-03,0,False
2020-05-10,30,False
2020-05-17,71,True
