date,charcutier traiteur,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,67,False
2018-01-28,34,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,68,False
2018-02-25,32,False
2018-03-04,99,False
2018-03-11,33,False
2018-03-18,34,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,0,False
2018-04-15,39,False
2018-04-22,36,False
2018-04-29,35,False
2018-05-06,74,False
2018-05-13,0,False
2018-05-20,73,False
2018-05-27,0,False
2018-06-03,35,False
2018-06-10,34,False
2018-06-17,72,False
2018-06-24,0,False
2018-07-01,35,False
2018-07-08,36,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,38,False
2018-08-05,58,False
2018-08-12,40,False
2018-08-19,38,False
2018-08-26,36,False
2018-09-02,37,False
2018-09-09,0,False
2018-09-16,36,False
2018-09-23,72,False
2018-09-30,0,False
2018-10-07,36,False
2018-10-14,55,False
2018-10-21,37,False
2018-10-28,36,False
2018-11-04,0,False
2018-11-11,35,False
2018-11-18,35,False
2018-11-25,35,False
2018-12-02,35,False
2018-12-09,35,False
2018-12-16,90,False
2018-12-23,59,False
2018-12-30,36,False
2019-01-06,0,False
2019-01-13,34,False
2019-01-20,33,False
2019-01-27,32,False
2019-02-03,100,False
2019-02-10,34,False
2019-02-17,35,False
2019-02-24,34,False
2019-03-03,66,False
2019-03-10,33,False
2019-03-17,35,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,0,False
2019-05-05,32,False
2019-05-12,65,False
2019-05-19,32,False
2019-05-26,51,False
2019-06-02,33,False
2019-06-09,31,False
2019-06-16,33,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,53,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,68,False
2019-08-04,0,False
2019-08-11,55,False
2019-08-18,75,False
2019-08-25,35,False
2019-09-01,31,False
2019-09-08,32,False
2019-09-15,0,False
2019-09-22,31,False
2019-09-29,48,False
2019-10-06,0,False
2019-10-13,48,False
2019-10-20,93,False
2019-10-27,31,False
2019-11-03,60,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,68,False
2019-12-08,29,False
2019-12-15,44,False
2019-12-22,65,False
2019-12-29,31,False
2020-01-05,49,False
2020-01-12,29,False
2020-01-19,0,False
2020-01-26,28,False
2020-02-02,38,False
2020-02-09,42,False
2020-02-16,27,False
2020-02-23,27,False
2020-03-01,0,False
2020-03-08,41,False
2020-03-15,52,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,38,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,25,False
2020-05-10,25,False
2020-05-17,0,True
