date,chauffe eau solaire,isPartial
2018-01-07,50,False
2018-01-14,96,False
2018-01-21,65,False
2018-01-28,66,False
2018-02-04,33,False
2018-02-11,49,False
2018-02-18,34,False
2018-02-25,45,False
2018-03-04,32,False
2018-03-11,33,False
2018-03-18,55,False
2018-03-25,0,False
2018-04-01,69,False
2018-04-08,33,False
2018-04-15,73,False
2018-04-22,72,False
2018-04-29,33,False
2018-05-06,35,False
2018-05-13,45,False
2018-05-20,71,False
2018-05-27,50,False
2018-06-03,34,False
2018-06-10,47,False
2018-06-17,35,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,55,False
2018-07-22,55,False
2018-07-29,0,False
2018-08-05,37,False
2018-08-12,38,False
2018-08-19,56,False
2018-08-26,36,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,70,False
2018-09-23,35,False
2018-09-30,93,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,36,False
2018-10-28,52,False
2018-11-04,34,False
2018-11-11,34,False
2018-11-18,34,False
2018-11-25,50,False
2018-12-02,100,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,40,False
2018-12-30,62,False
2019-01-06,44,False
2019-01-13,44,False
2019-01-20,32,False
2019-01-27,31,False
2019-02-03,43,False
2019-02-10,33,False
2019-02-17,67,False
2019-02-24,52,False
2019-03-03,46,False
2019-03-10,34,False
2019-03-17,34,False
2019-03-24,33,False
2019-03-31,48,False
2019-04-07,50,False
2019-04-14,93,False
2019-04-21,47,False
2019-04-28,70,False
2019-05-05,33,False
2019-05-12,33,False
2019-05-19,0,False
2019-05-26,44,False
2019-06-02,63,False
2019-06-09,79,False
2019-06-16,42,False
2019-06-23,49,False
2019-06-30,65,False
2019-07-07,43,False
2019-07-14,34,False
2019-07-21,32,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,60,False
2019-08-18,31,False
2019-08-25,83,False
2019-09-01,53,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,39,False
2019-10-06,53,False
2019-10-13,53,False
2019-10-20,27,False
2019-10-27,29,False
2019-11-03,29,False
2019-11-10,0,False
2019-11-17,35,False
2019-11-24,37,False
2019-12-01,38,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,56,False
2020-01-05,25,False
2020-01-12,37,False
2020-01-19,50,False
2020-01-26,25,False
2020-02-02,34,False
2020-02-09,35,False
2020-02-16,52,False
2020-02-23,24,False
2020-03-01,0,False
2020-03-08,40,False
2020-03-15,23,False
2020-03-22,22,False
2020-03-29,30,False
2020-04-05,45,False
2020-04-12,37,False
2020-04-19,21,False
2020-04-26,31,False
2020-05-03,43,False
2020-05-10,22,False
2020-05-17,85,True
