date,chauffe eau solaire,isPartial
2018-01-07,66,False
2018-01-14,0,False
2018-01-21,79,False
2018-01-28,36,False
2018-02-04,53,False
2018-02-11,39,False
2018-02-18,26,False
2018-02-25,34,False
2018-03-04,40,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,54,False
2018-04-01,27,False
2018-04-08,25,False
2018-04-15,70,False
2018-04-22,28,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,54,False
2018-05-27,26,False
2018-06-03,53,False
2018-06-10,51,False
2018-06-17,67,False
2018-06-24,53,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,53,False
2018-07-22,26,False
2018-07-29,52,False
2018-08-05,42,False
2018-08-12,26,False
2018-08-19,40,False
2018-08-26,67,False
2018-09-02,81,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,82,False
2018-09-30,28,False
2018-10-07,55,False
2018-10-14,43,False
2018-10-21,57,False
2018-10-28,27,False
2018-11-04,53,False
2018-11-11,41,False
2018-11-18,54,False
2018-11-25,37,False
2018-12-02,28,False
2018-12-09,56,False
2018-12-16,29,False
2018-12-23,66,False
2018-12-30,45,False
2019-01-06,37,False
2019-01-13,37,False
2019-01-20,62,False
2019-01-27,35,False
2019-02-03,46,False
2019-02-10,100,False
2019-02-17,43,False
2019-02-24,36,False
2019-03-03,54,False
2019-03-10,28,False
2019-03-17,84,False
2019-03-24,42,False
2019-03-31,40,False
2019-04-07,56,False
2019-04-14,97,False
2019-04-21,26,False
2019-04-28,45,False
2019-05-05,44,False
2019-05-12,53,False
2019-05-19,34,False
2019-05-26,26,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,38,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,51,False
2019-07-28,26,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,36,False
2019-08-25,34,False
2019-09-01,49,False
2019-09-08,50,False
2019-09-15,33,False
2019-09-22,87,False
2019-09-29,74,False
2019-10-06,62,False
2019-10-13,25,False
2019-10-20,49,False
2019-10-27,25,False
2019-11-03,73,False
2019-11-10,24,False
2019-11-17,70,False
2019-11-24,47,False
2019-12-01,35,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,25,False
2020-01-05,54,False
2020-01-12,33,False
2020-01-19,23,False
2020-01-26,46,False
2020-02-02,46,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,21,False
2020-03-08,22,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,19,False
2020-04-12,33,False
2020-04-19,28,False
2020-04-26,0,False
2020-05-03,43,False
2020-05-10,75,False
2020-05-17,35,True
