date,Treppe abschleifen,isPartial
2018-01-07,25,False
2018-01-14,17,False
2018-01-21,17,False
2018-01-28,17,False
2018-02-04,17,False
2018-02-11,26,False
2018-02-18,17,False
2018-02-25,34,False
2018-03-04,51,False
2018-03-11,17,False
2018-03-18,43,False
2018-03-25,0,False
2018-04-01,28,False
2018-04-08,18,False
2018-04-15,0,False
2018-04-22,17,False
2018-04-29,36,False
2018-05-06,18,False
2018-05-13,0,False
2018-05-20,37,False
2018-05-27,18,False
2018-06-03,52,False
2018-06-10,17,False
2018-06-17,34,False
2018-06-24,17,False
2018-07-01,17,False
2018-07-08,17,False
2018-07-15,18,False
2018-07-22,18,False
2018-07-29,18,False
2018-08-05,18,False
2018-08-12,18,False
2018-08-19,53,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,35,False
2018-09-23,34,False
2018-09-30,17,False
2018-10-07,34,False
2018-10-14,17,False
2018-10-21,17,False
2018-10-28,22,False
2018-11-04,16,False
2018-11-11,0,False
2018-11-18,16,False
2018-11-25,50,False
2018-12-02,17,False
2018-12-09,42,False
2018-12-16,17,False
2018-12-23,20,False
2018-12-30,24,False
2019-01-06,16,False
2019-01-13,24,False
2019-01-20,16,False
2019-01-27,16,False
2019-02-03,0,False
2019-02-10,16,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,16,False
2019-03-10,16,False
2019-03-17,17,False
2019-03-24,16,False
2019-03-31,17,False
2019-04-07,32,False
2019-04-14,0,False
2019-04-21,17,False
2019-04-28,0,False
2019-05-05,32,False
2019-05-12,33,False
2019-05-19,16,False
2019-05-26,17,False
2019-06-02,49,False
2019-06-09,25,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,49,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,18,False
2019-07-28,26,False
2019-08-04,17,False
2019-08-11,17,False
2019-08-18,25,False
2019-08-25,16,False
2019-09-01,16,False
2019-09-08,16,False
2019-09-15,16,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,23,False
2019-10-27,15,False
2019-11-03,0,False
2019-11-10,15,False
2019-11-17,23,False
2019-11-24,0,False
2019-12-01,15,False
2019-12-08,15,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,15,False
2020-01-12,19,False
2020-01-19,22,False
2020-01-26,14,False
2020-02-02,36,False
2020-02-09,28,False
2020-02-16,22,False
2020-02-23,100,False
2020-03-01,21,False
2020-03-08,27,False
2020-03-15,13,False
2020-03-22,13,False
2020-03-29,13,False
2020-04-05,43,False
2020-04-12,32,False
2020-04-19,13,False
2020-04-26,26,False
2020-05-03,26,False
2020-05-10,20,False
