date,coches deportivos,isPartial
2018-01-07,24,False
2018-01-14,16,False
2018-01-21,32,False
2018-01-28,24,False
2018-02-04,47,False
2018-02-11,32,False
2018-02-18,24,False
2018-02-25,15,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,24,False
2018-03-25,33,False
2018-04-01,25,False
2018-04-08,31,False
2018-04-15,0,False
2018-04-22,15,False
2018-04-29,31,False
2018-05-06,15,False
2018-05-13,32,False
2018-05-20,24,False
2018-05-27,15,False
2018-06-03,15,False
2018-06-10,30,False
2018-06-17,16,False
2018-06-24,40,False
2018-07-01,16,False
2018-07-08,31,False
2018-07-15,16,False
2018-07-22,23,False
2018-07-29,31,False
2018-08-05,15,False
2018-08-12,23,False
2018-08-19,33,False
2018-08-26,24,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,0,False
2018-09-23,37,False
2018-09-30,31,False
2018-10-07,17,False
2018-10-14,29,False
2018-10-21,39,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,30,False
2018-11-18,15,False
2018-11-25,24,False
2018-12-02,33,False
2018-12-09,24,False
2018-12-16,17,False
2018-12-23,19,False
2018-12-30,37,False
2019-01-06,16,False
2019-01-13,23,False
2019-01-20,22,False
2019-01-27,15,False
2019-02-03,31,False
2019-02-10,39,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,32,False
2019-03-17,41,False
2019-03-24,39,False
2019-03-31,22,False
2019-04-07,23,False
2019-04-14,14,False
2019-04-21,0,False
2019-04-28,15,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,37,False
2019-06-16,31,False
2019-06-23,16,False
2019-06-30,15,False
2019-07-07,0,False
2019-07-14,15,False
2019-07-21,0,False
2019-07-28,23,False
2019-08-04,30,False
2019-08-11,30,False
2019-08-18,15,False
2019-08-25,44,False
2019-09-01,14,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,36,False
2019-09-29,14,False
2019-10-06,29,False
2019-10-13,14,False
2019-10-20,0,False
2019-10-27,100,False
2019-11-03,14,False
2019-11-10,14,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,41,False
2019-12-08,44,False
2019-12-15,21,False
2019-12-22,15,False
2019-12-29,23,False
2020-01-05,28,False
2020-01-12,20,False
2020-01-19,13,False
2020-01-26,27,False
2020-02-02,33,False
2020-02-09,27,False
2020-02-16,13,False
2020-02-23,13,False
2020-03-01,25,False
2020-03-08,13,False
2020-03-15,31,False
2020-03-22,22,False
2020-03-29,11,False
2020-04-05,29,False
2020-04-12,18,True
