date,Maquillage naturel,isPartial
2018-01-07,20,False
2018-01-14,58,False
2018-01-21,39,False
2018-01-28,40,False
2018-02-04,20,False
2018-02-11,40,False
2018-02-18,54,False
2018-02-25,42,False
2018-03-04,41,False
2018-03-11,30,False
2018-03-18,41,False
2018-03-25,41,False
2018-04-01,62,False
2018-04-08,40,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,73,False
2018-05-06,22,False
2018-05-13,20,False
2018-05-20,21,False
2018-05-27,29,False
2018-06-03,59,False
2018-06-10,48,False
2018-06-17,20,False
2018-06-24,70,False
2018-07-01,39,False
2018-07-08,21,False
2018-07-15,89,False
2018-07-22,23,False
2018-07-29,24,False
2018-08-05,25,False
2018-08-12,78,False
2018-08-19,60,False
2018-08-26,76,False
2018-09-02,62,False
2018-09-09,30,False
2018-09-16,40,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,20,False
2018-10-14,48,False
2018-10-21,58,False
2018-10-28,42,False
2018-11-04,59,False
2018-11-11,19,False
2018-11-18,20,False
2018-11-25,40,False
2018-12-02,59,False
2018-12-09,51,False
2018-12-16,31,False
2018-12-23,100,False
2018-12-30,57,False
2019-01-06,30,False
2019-01-13,60,False
2019-01-20,29,False
2019-01-27,19,False
2019-02-03,37,False
2019-02-10,29,False
2019-02-17,30,False
2019-02-24,21,False
2019-03-03,59,False
2019-03-10,50,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,51,False
2019-04-07,32,False
2019-04-14,43,False
2019-04-21,23,False
2019-04-28,22,False
2019-05-05,33,False
2019-05-12,43,False
2019-05-19,63,False
2019-05-26,44,False
2019-06-02,19,False
2019-06-09,42,False
2019-06-16,62,False
2019-06-23,42,False
2019-06-30,21,False
2019-07-07,64,False
2019-07-14,23,False
2019-07-21,24,False
2019-07-28,38,False
2019-08-04,27,False
2019-08-11,84,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,21,False
2019-09-08,20,False
2019-09-15,80,False
2019-09-22,0,False
2019-09-29,39,False
2019-10-06,51,False
2019-10-13,51,False
2019-10-20,51,False
2019-10-27,63,False
2019-11-03,0,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,20,False
2019-12-01,76,False
2019-12-08,29,False
2019-12-15,40,False
2019-12-22,24,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,19,False
2020-01-19,59,False
2020-01-26,48,False
2020-02-02,30,False
2020-02-09,39,False
2020-02-16,40,False
2020-02-23,38,False
2020-03-01,37,False
2020-03-08,18,False
2020-03-15,0,False
2020-03-22,61,False
2020-03-29,30,False
2020-04-05,59,False
2020-04-12,48,True
