date,Sperrmüll entsorgen,isPartial
2018-01-07,29,False
2018-01-14,28,False
2018-01-21,42,False
2018-01-28,43,False
2018-02-04,44,False
2018-02-11,100,False
2018-02-18,44,False
2018-02-25,29,False
2018-03-04,44,False
2018-03-11,30,False
2018-03-18,59,False
2018-03-25,32,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,30,False
2018-04-29,46,False
2018-05-06,61,False
2018-05-13,39,False
2018-05-20,31,False
2018-05-27,31,False
2018-06-03,29,False
2018-06-10,42,False
2018-06-17,42,False
2018-06-24,28,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,56,False
2018-07-22,28,False
2018-07-29,29,False
2018-08-05,40,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,31,False
2018-09-02,30,False
2018-09-09,58,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,59,False
2018-10-07,58,False
2018-10-14,29,False
2018-10-21,29,False
2018-10-28,0,False
2018-11-04,84,False
2018-11-11,28,False
2018-11-18,28,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,68,False
2018-12-30,46,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,53,False
2019-01-27,40,False
2019-02-03,26,False
2019-02-10,82,False
2019-02-17,27,False
2019-02-24,28,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,28,False
2019-03-31,29,False
2019-04-07,28,False
2019-04-14,31,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,54,False
2019-05-26,28,False
2019-06-02,56,False
2019-06-09,0,False
2019-06-16,58,False
2019-06-23,43,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,28,False
2019-07-21,29,False
2019-07-28,28,False
2019-08-04,44,False
2019-08-11,45,False
2019-08-18,30,False
2019-08-25,49,False
2019-09-01,37,False
2019-09-08,73,False
2019-09-15,28,False
2019-09-22,67,False
2019-09-29,41,False
2019-10-06,0,False
2019-10-13,52,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,51,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,26,False
2019-12-01,26,False
2019-12-08,39,False
2019-12-15,0,False
2019-12-22,31,False
2019-12-29,28,False
2020-01-05,38,False
2020-01-12,37,False
2020-01-19,25,False
2020-01-26,25,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,25,False
2020-02-23,50,False
2020-03-01,0,False
2020-03-08,45,False
2020-03-15,55,False
2020-03-22,90,False
2020-03-29,45,False
2020-04-05,62,False
2020-04-12,23,False
2020-04-19,46,False
2020-04-26,37,False
2020-05-03,38,False
2020-05-10,23,False
