date,Sperrmüll entsorgen,isPartial
2018-01-07,21,False
2018-01-14,20,False
2018-01-21,20,False
2018-01-28,62,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,21,False
2018-03-04,42,False
2018-03-11,61,False
2018-03-18,35,False
2018-03-25,43,False
2018-04-01,34,False
2018-04-08,32,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,35,False
2018-05-27,31,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,21,False
2018-06-24,32,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,22,False
2018-07-22,65,False
2018-07-29,22,False
2018-08-05,34,False
2018-08-12,23,False
2018-08-19,24,False
2018-08-26,46,False
2018-09-02,33,False
2018-09-09,44,False
2018-09-16,35,False
2018-09-23,64,False
2018-09-30,22,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,20,False
2018-10-28,42,False
2018-11-04,20,False
2018-11-11,61,False
2018-11-18,20,False
2018-11-25,0,False
2018-12-02,20,False
2018-12-09,40,False
2018-12-16,0,False
2018-12-23,48,False
2018-12-30,22,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,19,False
2019-01-27,28,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,20,False
2019-02-24,40,False
2019-03-03,20,False
2019-03-10,19,False
2019-03-17,40,False
2019-03-24,30,False
2019-03-31,20,False
2019-04-07,39,False
2019-04-14,0,False
2019-04-21,42,False
2019-04-28,100,False
2019-05-05,28,False
2019-05-12,20,False
2019-05-19,19,False
2019-05-26,20,False
2019-06-02,0,False
2019-06-09,21,False
2019-06-16,21,False
2019-06-23,20,False
2019-06-30,26,False
2019-07-07,25,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,35,False
2019-08-04,22,False
2019-08-11,21,False
2019-08-18,22,False
2019-08-25,22,False
2019-09-01,41,False
2019-09-08,40,False
2019-09-15,30,False
2019-09-22,38,False
2019-09-29,39,False
2019-10-06,38,False
2019-10-13,19,False
2019-10-20,46,False
2019-10-27,38,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,19,False
2019-12-08,18,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,21,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,52,False
2020-02-02,17,False
2020-02-09,0,False
2020-02-16,36,False
2020-02-23,35,False
2020-03-01,25,False
2020-03-08,16,False
2020-03-15,15,False
2020-03-22,23,False
2020-03-29,0,False
2020-04-05,34,False
2020-04-12,22,False
2020-04-19,37,False
2020-04-26,20,False
2020-05-03,31,False
2020-05-10,23,False
