date,Terrasse,isPartial
2018-01-07,34,False
2018-01-14,52,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,34,False
2018-02-11,35,False
2018-02-18,32,False
2018-02-25,0,False
2018-03-04,33,False
2018-03-11,0,False
2018-03-18,33,False
2018-03-25,52,False
2018-04-01,35,False
2018-04-08,35,False
2018-04-15,54,False
2018-04-22,66,False
2018-04-29,69,False
2018-05-06,34,False
2018-05-13,51,False
2018-05-20,84,False
2018-05-27,100,False
2018-06-03,48,False
2018-06-10,30,False
2018-06-17,48,False
2018-06-24,31,False
2018-07-01,82,False
2018-07-08,31,False
2018-07-15,63,False
2018-07-22,48,False
2018-07-29,32,False
2018-08-05,0,False
2018-08-12,32,False
2018-08-19,31,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,32,False
2018-10-07,33,False
2018-10-14,32,False
2018-10-21,31,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,57,False
2018-11-25,61,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,29,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,61,False
2019-02-17,0,False
2019-02-24,43,False
2019-03-03,44,False
2019-03-10,57,False
2019-03-17,58,False
2019-03-24,29,False
2019-03-31,59,False
2019-04-07,0,False
2019-04-14,62,False
2019-04-21,29,False
2019-04-28,27,False
2019-05-05,0,False
2019-05-12,26,False
2019-05-19,41,False
2019-05-26,79,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,28,False
2019-06-23,58,False
2019-06-30,28,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,56,False
2019-07-28,27,False
2019-08-04,43,False
2019-08-11,0,False
2019-08-18,51,False
2019-08-25,39,False
2019-09-01,52,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,27,False
2019-09-29,0,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,24,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,26,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,48,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,51,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,32,False
2020-03-15,39,False
2020-03-22,38,False
2020-03-29,48,False
2020-04-05,43,False
2020-04-12,81,False
2020-04-19,20,False
2020-04-26,30,False
2020-05-03,62,False
2020-05-10,62,False
2020-05-17,67,False
2020-05-24,20,False
2020-05-31,79,False
2020-06-07,82,False
2020-06-14,41,False
2020-06-21,22,False
2020-06-28,22,False
2020-07-05,23,False
