date,Terrasse,isPartial
2018-01-07,9,False
2018-01-14,17,False
2018-01-21,9,False
2018-01-28,31,False
2018-02-04,35,False
2018-02-11,22,False
2018-02-18,27,False
2018-02-25,17,False
2018-03-04,26,False
2018-03-11,47,False
2018-03-18,39,False
2018-03-25,23,False
2018-04-01,80,False
2018-04-08,100,False
2018-04-15,50,False
2018-04-22,58,False
2018-04-29,50,False
2018-05-06,50,False
2018-05-13,39,False
2018-05-20,68,False
2018-05-27,64,False
2018-06-03,88,False
2018-06-10,42,False
2018-06-17,26,False
2018-06-24,47,False
2018-07-01,51,False
2018-07-08,17,False
2018-07-15,27,False
2018-07-22,45,False
2018-07-29,38,False
2018-08-05,40,False
2018-08-12,47,False
2018-08-19,27,False
2018-08-26,26,False
2018-09-02,9,False
2018-09-09,27,False
2018-09-16,31,False
2018-09-23,35,False
2018-09-30,18,False
2018-10-07,26,False
2018-10-14,9,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,34,False
2018-11-11,17,False
2018-11-18,16,False
2018-11-25,17,False
2018-12-02,22,False
2018-12-09,9,False
2018-12-16,9,False
2018-12-23,10,False
2018-12-30,17,False
2019-01-06,16,False
2019-01-13,23,False
2019-01-20,20,False
2019-01-27,16,False
2019-02-03,35,False
2019-02-10,20,False
2019-02-17,50,False
2019-02-24,68,False
2019-03-03,45,False
2019-03-10,39,False
2019-03-17,62,False
2019-03-24,65,False
2019-03-31,93,False
2019-04-07,49,False
2019-04-14,75,False
2019-04-21,60,False
2019-04-28,53,False
2019-05-05,35,False
2019-05-12,48,False
2019-05-19,32,False
2019-05-26,24,False
2019-06-02,46,False
2019-06-09,38,False
2019-06-16,39,False
2019-06-23,47,False
2019-06-30,42,False
2019-07-07,53,False
2019-07-14,39,False
2019-07-21,55,False
2019-07-28,53,False
2019-08-04,55,False
2019-08-11,56,False
2019-08-18,50,False
2019-08-25,21,False
2019-09-01,28,False
2019-09-08,21,False
2019-09-15,9,False
2019-09-22,29,False
2019-09-29,28,False
2019-10-06,20,False
2019-10-13,33,False
2019-10-20,25,False
2019-10-27,24,False
2019-11-03,35,False
2019-11-10,20,False
2019-11-17,0,False
2019-11-24,24,False
2019-12-01,24,False
2019-12-08,40,False
2019-12-15,12,False
2019-12-22,9,False
2019-12-29,30,False
2020-01-05,19,False
2020-01-12,15,False
2020-01-19,11,False
2020-01-26,18,False
2020-02-02,18,False
2020-02-09,30,False
2020-02-16,44,False
2020-02-23,33,False
2020-03-01,29,False
2020-03-08,42,False
2020-03-15,52,False
2020-03-22,27,False
2020-03-29,46,False
2020-04-05,89,False
2020-04-12,71,False
2020-04-19,52,False
2020-04-26,89,False
2020-05-03,92,False
2020-05-10,83,False
2020-05-17,78,False
2020-05-24,34,False
2020-05-31,66,False
2020-06-07,75,False
2020-06-14,41,False
2020-06-21,72,False
2020-06-28,58,False
2020-07-05,49,False
