date,sacchetti bomboniere,isPartial
2018-01-07,0,False
2018-01-14,70,False
2018-01-21,34,False
2018-01-28,56,False
2018-02-04,99,False
2018-02-11,22,False
2018-02-18,51,False
2018-02-25,60,False
2018-03-04,70,False
2018-03-11,61,False
2018-03-18,41,False
2018-03-25,22,False
2018-04-01,23,False
2018-04-08,62,False
2018-04-15,42,False
2018-04-22,22,False
2018-04-29,95,False
2018-05-06,41,False
2018-05-13,20,False
2018-05-20,72,False
2018-05-27,32,False
2018-06-03,65,False
2018-06-10,20,False
2018-06-17,20,False
2018-06-24,64,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,44,False
2018-07-22,0,False
2018-07-29,33,False
2018-08-05,0,False
2018-08-12,55,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,32,False
2018-09-09,41,False
2018-09-16,20,False
2018-09-23,30,False
2018-09-30,20,False
2018-10-07,42,False
2018-10-14,41,False
2018-10-21,31,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,40,False
2018-11-18,30,False
2018-11-25,20,False
2018-12-02,19,False
2018-12-09,0,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,35,False
2019-01-13,0,False
2019-01-20,42,False
2019-01-27,76,False
2019-02-03,33,False
2019-02-10,100,False
2019-02-17,67,False
2019-02-24,40,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,47,False
2019-03-24,34,False
2019-03-31,56,False
2019-04-07,21,False
2019-04-14,33,False
2019-04-21,26,False
2019-04-28,22,False
2019-05-05,30,False
2019-05-12,86,False
2019-05-19,0,False
2019-05-26,21,False
2019-06-02,0,False
2019-06-09,45,False
2019-06-16,71,False
2019-06-23,0,False
2019-06-30,24,False
2019-07-07,33,False
2019-07-14,48,False
2019-07-21,47,False
2019-07-28,25,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,37,False
2019-09-01,21,False
2019-09-08,90,False
2019-09-15,21,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,22,False
2019-10-20,64,False
2019-10-27,65,False
2019-11-03,21,False
2019-11-10,31,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,22,False
2020-01-12,20,False
2020-01-19,31,False
2020-01-26,0,False
2020-02-02,40,False
2020-02-09,31,False
2020-02-16,31,False
2020-02-23,78,False
2020-03-01,39,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,37,False
2020-04-26,0,True
