date,sacchetti bomboniere,isPartial
2018-01-07,61,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,30,False
2018-02-04,59,False
2018-02-11,31,False
2018-02-18,46,False
2018-02-25,31,False
2018-03-04,63,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,54,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,34,False
2018-04-29,33,False
2018-05-06,100,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,33,False
2018-06-10,0,False
2018-06-17,63,False
2018-06-24,63,False
2018-07-01,33,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,60,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,31,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,30,False
2018-09-23,31,False
2018-09-30,31,False
2018-10-07,0,False
2018-10-14,32,False
2018-10-21,33,False
2018-10-28,0,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,70,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,31,False
2019-01-13,47,False
2019-01-20,0,False
2019-01-27,31,False
2019-02-03,74,False
2019-02-10,45,False
2019-02-17,30,False
2019-02-24,46,False
2019-03-03,64,False
2019-03-10,31,False
2019-03-17,93,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,32,False
2019-04-21,33,False
2019-04-28,78,False
2019-05-05,31,False
2019-05-12,0,False
2019-05-19,31,False
2019-05-26,28,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,33,False
2019-07-07,32,False
2019-07-14,31,False
2019-07-21,65,False
2019-07-28,0,False
2019-08-04,31,False
2019-08-11,0,False
2019-08-18,29,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,45,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,58,False
2019-10-27,60,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,31,False
2019-12-15,0,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,29,False
2020-01-19,0,False
2020-01-26,29,False
2020-02-02,28,False
2020-02-09,59,False
2020-02-16,44,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,25,False
2020-03-15,49,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,26,False
2020-04-19,0,False
2020-04-26,42,True
