date,sacchetti bomboniere,isPartial
2018-01-07,29,False
2018-01-14,57,False
2018-01-21,57,False
2018-01-28,85,False
2018-02-04,42,False
2018-02-11,61,False
2018-02-18,100,False
2018-02-25,41,False
2018-03-04,29,False
2018-03-11,59,False
2018-03-18,43,False
2018-03-25,61,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,61,False
2018-04-22,31,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,61,False
2018-05-20,30,False
2018-05-27,0,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,44,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,64,False
2018-09-02,61,False
2018-09-09,44,False
2018-09-16,29,False
2018-09-23,29,False
2018-09-30,0,False
2018-10-07,30,False
2018-10-14,62,False
2018-10-21,44,False
2018-10-28,29,False
2018-11-04,44,False
2018-11-11,63,False
2018-11-18,31,False
2018-11-25,61,False
2018-12-02,32,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,30,False
2019-01-13,29,False
2019-01-20,27,False
2019-01-27,0,False
2019-02-03,98,False
2019-02-10,28,False
2019-02-17,56,False
2019-02-24,29,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,30,False
2019-04-07,44,False
2019-04-14,62,False
2019-04-21,31,False
2019-04-28,29,False
2019-05-05,29,False
2019-05-12,86,False
2019-05-19,28,False
2019-05-26,27,False
2019-06-02,30,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,30,False
2019-09-01,27,False
2019-09-08,29,False
2019-09-15,55,False
2019-09-22,0,False
2019-09-29,53,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,41,False
2019-10-27,0,False
2019-11-03,25,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,27,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,52,False
2020-02-02,76,False
2020-02-09,80,False
2020-02-16,40,False
2020-02-23,50,False
2020-03-01,0,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,21,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,46,False
2020-04-19,32,False
2020-04-26,38,True
