date,Heizungswartung,isPartial
2018-01-07,42,False
2018-01-14,41,False
2018-01-21,81,False
2018-01-28,42,False
2018-02-04,42,False
2018-02-11,42,False
2018-02-18,85,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,42,False
2018-03-18,42,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,45,False
2018-04-22,0,False
2018-04-29,46,False
2018-05-06,45,False
2018-05-13,0,False
2018-05-20,47,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,43,False
2018-06-24,0,False
2018-07-01,42,False
2018-07-08,43,False
2018-07-15,0,False
2018-07-22,43,False
2018-07-29,0,False
2018-08-05,46,False
2018-08-12,47,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,45,False
2018-09-09,0,False
2018-09-16,43,False
2018-09-23,66,False
2018-09-30,44,False
2018-10-07,42,False
2018-10-14,0,False
2018-10-21,83,False
2018-10-28,43,False
2018-11-04,41,False
2018-11-11,41,False
2018-11-18,39,False
2018-11-25,81,False
2018-12-02,41,False
2018-12-09,80,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,44,False
2019-01-06,39,False
2019-01-13,77,False
2019-01-20,78,False
2019-01-27,58,False
2019-02-03,39,False
2019-02-10,39,False
2019-02-17,100,False
2019-02-24,41,False
2019-03-03,0,False
2019-03-10,52,False
2019-03-17,40,False
2019-03-24,40,False
2019-03-31,40,False
2019-04-07,60,False
2019-04-14,0,False
2019-04-21,85,False
2019-04-28,0,False
2019-05-05,39,False
2019-05-12,0,False
2019-05-19,39,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,43,False
2019-06-16,42,False
2019-06-23,41,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,40,False
2019-07-21,42,False
2019-07-28,43,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,44,False
2019-08-25,44,False
2019-09-01,42,False
2019-09-08,0,False
2019-09-15,82,False
2019-09-22,58,False
2019-09-29,80,False
2019-10-06,38,False
2019-10-13,0,False
2019-10-20,38,False
2019-10-27,76,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,37,False
2019-12-01,0,False
2019-12-08,37,False
2019-12-15,38,False
2019-12-22,0,False
2019-12-29,42,False
2020-01-05,0,False
2020-01-12,52,False
2020-01-19,36,False
2020-01-26,70,False
2020-02-02,35,False
2020-02-09,53,False
2020-02-16,36,False
2020-02-23,35,False
2020-03-01,35,False
2020-03-08,43,False
2020-03-15,0,False
2020-03-22,31,False
2020-03-29,31,False
2020-04-05,35,False
2020-04-12,0,False
2020-04-19,32,False
2020-04-26,31,False
2020-05-03,0,False
2020-05-10,95,False
