date,Rolladen nachrüsten,isPartial
2018-01-07,31,False
2018-01-14,41,False
2018-01-21,42,False
2018-01-28,61,False
2018-02-04,43,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,34,False
2018-03-04,42,False
2018-03-11,31,False
2018-03-18,21,False
2018-03-25,29,False
2018-04-01,44,False
2018-04-08,21,False
2018-04-15,21,False
2018-04-22,31,False
2018-04-29,36,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,44,False
2018-05-27,41,False
2018-06-03,21,False
2018-06-10,30,False
2018-06-17,20,False
2018-06-24,0,False
2018-07-01,20,False
2018-07-08,20,False
2018-07-15,43,False
2018-07-22,50,False
2018-07-29,55,False
2018-08-05,44,False
2018-08-12,22,False
2018-08-19,32,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,31,False
2018-09-23,21,False
2018-09-30,64,False
2018-10-07,21,False
2018-10-14,22,False
2018-10-21,42,False
2018-10-28,31,False
2018-11-04,60,False
2018-11-11,47,False
2018-11-18,40,False
2018-11-25,30,False
2018-12-02,30,False
2018-12-09,47,False
2018-12-16,21,False
2018-12-23,23,False
2018-12-30,43,False
2019-01-06,19,False
2019-01-13,45,False
2019-01-20,19,False
2019-01-27,76,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,20,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,19,False
2019-03-17,0,False
2019-03-24,100,False
2019-03-31,0,False
2019-04-07,40,False
2019-04-14,22,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,29,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,40,False
2019-06-30,46,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,33,False
2019-07-28,22,False
2019-08-04,22,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,40,False
2019-09-01,39,False
2019-09-08,30,False
2019-09-15,27,False
2019-09-22,19,False
2019-09-29,20,False
2019-10-06,19,False
2019-10-13,32,False
2019-10-20,39,False
2019-10-27,19,False
2019-11-03,18,False
2019-11-10,37,False
2019-11-17,30,False
2019-11-24,27,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,19,False
2019-12-22,28,False
2019-12-29,20,False
2020-01-05,36,False
2020-01-12,23,False
2020-01-19,27,False
2020-01-26,35,False
2020-02-02,17,False
2020-02-09,28,False
2020-02-16,0,False
2020-02-23,17,False
2020-03-01,17,False
2020-03-08,32,False
2020-03-15,16,False
2020-03-22,26,False
2020-03-29,47,False
2020-04-05,34,False
2020-04-12,49,False
2020-04-19,16,False
2020-04-26,16,False
2020-05-03,40,False
2020-05-10,27,False
