date,Rolladen nachrüsten,isPartial
2018-01-07,28,False
2018-01-14,27,False
2018-01-21,55,False
2018-01-28,28,False
2018-02-04,43,False
2018-02-11,28,False
2018-02-18,66,False
2018-02-25,43,False
2018-03-04,0,False
2018-03-11,28,False
2018-03-18,100,False
2018-03-25,60,False
2018-04-01,31,False
2018-04-08,74,False
2018-04-15,45,False
2018-04-22,39,False
2018-04-29,61,False
2018-05-06,31,False
2018-05-13,44,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,59,False
2018-06-10,28,False
2018-06-17,58,False
2018-06-24,43,False
2018-07-01,42,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,44,False
2018-07-29,61,False
2018-08-05,31,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,30,False
2018-09-09,39,False
2018-09-16,58,False
2018-09-23,44,False
2018-09-30,30,False
2018-10-07,57,False
2018-10-14,28,False
2018-10-21,28,False
2018-10-28,29,False
2018-11-04,55,False
2018-11-11,56,False
2018-11-18,26,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,88,False
2019-01-06,27,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,65,False
2019-02-03,26,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,26,False
2019-03-17,0,False
2019-03-24,27,False
2019-03-31,27,False
2019-04-07,35,False
2019-04-14,29,False
2019-04-21,28,False
2019-04-28,0,False
2019-05-05,26,False
2019-05-12,80,False
2019-05-19,0,False
2019-05-26,81,False
2019-06-02,54,False
2019-06-09,28,False
2019-06-16,43,False
2019-06-23,54,False
2019-06-30,27,False
2019-07-07,26,False
2019-07-14,41,False
2019-07-21,42,False
2019-07-28,28,False
2019-08-04,30,False
2019-08-11,0,False
2019-08-18,88,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,53,False
2019-09-29,27,False
2019-10-06,26,False
2019-10-13,25,False
2019-10-20,25,False
2019-10-27,25,False
2019-11-03,49,False
2019-11-10,38,False
2019-11-17,25,False
2019-11-24,24,False
2019-12-01,38,False
2019-12-08,25,False
2019-12-15,0,False
2019-12-22,29,False
2019-12-29,42,False
2020-01-05,25,False
2020-01-12,23,False
2020-01-19,24,False
2020-01-26,47,False
2020-02-02,59,False
2020-02-09,47,False
2020-02-16,50,False
2020-02-23,24,False
2020-03-01,35,False
2020-03-08,22,False
2020-03-15,43,False
2020-03-22,0,False
2020-03-29,28,False
2020-04-05,93,False
2020-04-12,37,False
2020-04-19,21,False
2020-04-26,20,False
2020-05-03,21,False
2020-05-10,42,False
