date,bomboniere laurea,isPartial
2018-01-07,13,False
2018-01-14,55,False
2018-01-21,55,False
2018-01-28,0,False
2018-02-04,53,False
2018-02-11,41,False
2018-02-18,70,False
2018-02-25,14,False
2018-03-04,28,False
2018-03-11,29,False
2018-03-18,0,False
2018-03-25,16,False
2018-04-01,32,False
2018-04-08,43,False
2018-04-15,14,False
2018-04-22,15,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,29,False
2018-05-20,15,False
2018-05-27,0,False
2018-06-03,15,False
2018-06-10,27,False
2018-06-17,100,False
2018-06-24,57,False
2018-07-01,29,False
2018-07-08,14,False
2018-07-15,30,False
2018-07-22,14,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,14,False
2018-09-02,0,False
2018-09-09,28,False
2018-09-16,40,False
2018-09-23,54,False
2018-09-30,0,False
2018-10-07,42,False
2018-10-14,57,False
2018-10-21,43,False
2018-10-28,56,False
2018-11-04,29,False
2018-11-11,15,False
2018-11-18,30,False
2018-11-25,15,False
2018-12-02,16,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,14,False
2019-01-13,14,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,27,False
2019-02-10,55,False
2019-02-17,28,False
2019-02-24,56,False
2019-03-03,15,False
2019-03-10,55,False
2019-03-17,28,False
2019-03-24,0,False
2019-03-31,14,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,29,False
2019-04-28,28,False
2019-05-05,42,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,13,False
2019-06-02,14,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,14,False
2019-06-30,30,False
2019-07-07,43,False
2019-07-14,28,False
2019-07-21,14,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,14,False
2019-08-18,26,False
2019-08-25,13,False
2019-09-01,49,False
2019-09-08,13,False
2019-09-15,26,False
2019-09-22,27,False
2019-09-29,13,False
2019-10-06,53,False
2019-10-13,42,False
2019-10-20,26,False
2019-10-27,40,False
2019-11-03,13,False
2019-11-10,27,False
2019-11-17,69,False
2019-11-24,13,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,30,False
2019-12-29,0,False
2020-01-05,13,False
2020-01-12,13,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,63,False
2020-02-09,40,False
2020-02-16,40,False
2020-02-23,13,False
2020-03-01,49,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,11,False
2020-04-12,23,False
2020-04-19,0,False
2020-04-26,0,True
