date,bomboniere laurea,isPartial
2018-01-07,78,False
2018-01-14,39,False
2018-01-21,32,False
2018-01-28,16,False
2018-02-04,23,False
2018-02-11,67,False
2018-02-18,55,False
2018-02-25,45,False
2018-03-04,48,False
2018-03-11,48,False
2018-03-18,24,False
2018-03-25,17,False
2018-04-01,36,False
2018-04-08,100,False
2018-04-15,16,False
2018-04-22,34,False
2018-04-29,49,False
2018-05-06,40,False
2018-05-13,25,False
2018-05-20,41,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,39,False
2018-06-17,32,False
2018-06-24,16,False
2018-07-01,40,False
2018-07-08,33,False
2018-07-15,26,False
2018-07-22,34,False
2018-07-29,17,False
2018-08-05,18,False
2018-08-12,19,False
2018-08-19,29,False
2018-08-26,35,False
2018-09-02,65,False
2018-09-09,48,False
2018-09-16,47,False
2018-09-23,40,False
2018-09-30,24,False
2018-10-07,58,False
2018-10-14,34,False
2018-10-21,57,False
2018-10-28,40,False
2018-11-04,49,False
2018-11-11,44,False
2018-11-18,33,False
2018-11-25,42,False
2018-12-02,0,False
2018-12-09,52,False
2018-12-16,17,False
2018-12-23,18,False
2018-12-30,17,False
2019-01-06,33,False
2019-01-13,48,False
2019-01-20,75,False
2019-01-27,31,False
2019-02-03,38,False
2019-02-10,94,False
2019-02-17,47,False
2019-02-24,55,False
2019-03-03,41,False
2019-03-10,62,False
2019-03-17,33,False
2019-03-24,33,False
2019-03-31,16,False
2019-04-07,49,False
2019-04-14,17,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,16,False
2019-05-12,31,False
2019-05-19,15,False
2019-05-26,30,False
2019-06-02,25,False
2019-06-09,43,False
2019-06-16,25,False
2019-06-23,60,False
2019-06-30,44,False
2019-07-07,25,False
2019-07-14,34,False
2019-07-21,17,False
2019-07-28,35,False
2019-08-04,18,False
2019-08-11,0,False
2019-08-18,18,False
2019-08-25,16,False
2019-09-01,23,False
2019-09-08,23,False
2019-09-15,37,False
2019-09-22,59,False
2019-09-29,51,False
2019-10-06,54,False
2019-10-13,39,False
2019-10-20,45,False
2019-10-27,15,False
2019-11-03,42,False
2019-11-10,37,False
2019-11-17,29,False
2019-11-24,74,False
2019-12-01,46,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,17,False
2019-12-29,24,False
2020-01-05,23,False
2020-01-12,36,False
2020-01-19,30,False
2020-01-26,21,False
2020-02-02,35,False
2020-02-09,22,False
2020-02-16,80,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,35,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,13,False
2020-04-19,11,False
2020-04-26,0,True
