date,bomboniere laurea,isPartial
2018-01-07,40,False
2018-01-14,39,False
2018-01-21,29,False
2018-01-28,19,False
2018-02-04,49,False
2018-02-11,58,False
2018-02-18,28,False
2018-02-25,65,False
2018-03-04,45,False
2018-03-11,65,False
2018-03-18,66,False
2018-03-25,39,False
2018-04-01,62,False
2018-04-08,28,False
2018-04-15,19,False
2018-04-22,0,False
2018-04-29,19,False
2018-05-06,38,False
2018-05-13,0,False
2018-05-20,19,False
2018-05-27,19,False
2018-06-03,38,False
2018-06-10,38,False
2018-06-17,58,False
2018-06-24,69,False
2018-07-01,38,False
2018-07-08,58,False
2018-07-15,59,False
2018-07-22,30,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,26,False
2018-08-19,0,False
2018-08-26,61,False
2018-09-02,56,False
2018-09-09,46,False
2018-09-16,45,False
2018-09-23,55,False
2018-09-30,100,False
2018-10-07,65,False
2018-10-14,46,False
2018-10-21,36,False
2018-10-28,37,False
2018-11-04,17,False
2018-11-11,54,False
2018-11-18,62,False
2018-11-25,27,False
2018-12-02,55,False
2018-12-09,0,False
2018-12-16,19,False
2018-12-23,22,False
2018-12-30,0,False
2019-01-06,18,False
2019-01-13,44,False
2019-01-20,35,False
2019-01-27,26,False
2019-02-03,35,False
2019-02-10,44,False
2019-02-17,90,False
2019-02-24,37,False
2019-03-03,92,False
2019-03-10,73,False
2019-03-17,65,False
2019-03-24,19,False
2019-03-31,28,False
2019-04-07,37,False
2019-04-14,19,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,37,False
2019-05-12,18,False
2019-05-19,18,False
2019-05-26,26,False
2019-06-02,19,False
2019-06-09,37,False
2019-06-16,47,False
2019-06-23,68,False
2019-06-30,86,False
2019-07-07,47,False
2019-07-14,96,False
2019-07-21,20,False
2019-07-28,62,False
2019-08-04,23,False
2019-08-11,38,False
2019-08-18,47,False
2019-08-25,51,False
2019-09-01,26,False
2019-09-08,72,False
2019-09-15,43,False
2019-09-22,68,False
2019-09-29,52,False
2019-10-06,44,False
2019-10-13,43,False
2019-10-20,67,False
2019-10-27,34,False
2019-11-03,57,False
2019-11-10,42,False
2019-11-17,58,False
2019-11-24,33,False
2019-12-01,17,False
2019-12-08,17,False
2019-12-15,35,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,17,False
2020-01-12,39,False
2020-01-19,32,False
2020-01-26,47,False
2020-02-02,63,False
2020-02-09,48,False
2020-02-16,48,False
2020-02-23,22,False
2020-03-01,46,False
2020-03-08,15,False
2020-03-15,0,False
2020-03-22,44,False
2020-03-29,15,False
2020-04-05,31,False
2020-04-12,0,False
2020-04-19,15,False
2020-04-26,26,True
