date,Rolladen reparieren,isPartial
2018-01-07,0,False
2018-01-14,36,False
2018-01-21,0,False
2018-01-28,33,False
2018-02-04,63,False
2018-02-11,25,False
2018-02-18,50,False
2018-02-25,25,False
2018-03-04,59,False
2018-03-11,24,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,39,False
2018-04-15,26,False
2018-04-22,26,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,55,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,38,False
2018-06-24,26,False
2018-07-01,37,False
2018-07-08,59,False
2018-07-15,26,False
2018-07-22,77,False
2018-07-29,36,False
2018-08-05,41,False
2018-08-12,28,False
2018-08-19,57,False
2018-08-26,42,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,39,False
2018-09-30,52,False
2018-10-07,25,False
2018-10-14,50,False
2018-10-21,0,False
2018-10-28,37,False
2018-11-04,40,False
2018-11-11,49,False
2018-11-18,23,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,48,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,53,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,46,False
2019-01-27,38,False
2019-02-03,69,False
2019-02-10,24,False
2019-02-17,36,False
2019-02-24,48,False
2019-03-03,24,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,32,False
2019-04-07,24,False
2019-04-14,38,False
2019-04-21,25,False
2019-04-28,48,False
2019-05-05,34,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,48,False
2019-06-02,32,False
2019-06-09,62,False
2019-06-16,100,False
2019-06-23,40,False
2019-06-30,23,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,38,False
2019-08-04,26,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,53,False
2019-09-01,25,False
2019-09-08,24,False
2019-09-15,36,False
2019-09-22,23,False
2019-09-29,24,False
2019-10-06,23,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,23,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,44,False
2019-11-24,65,False
2019-12-01,30,False
2019-12-08,36,False
2019-12-15,68,False
2019-12-22,26,False
2019-12-29,41,False
2020-01-05,43,False
2020-01-12,21,False
2020-01-19,42,False
2020-01-26,21,False
2020-02-02,35,False
2020-02-09,84,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,32,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,61,False
2020-04-12,59,False
2020-04-19,28,False
2020-04-26,56,False
2020-05-03,37,False
2020-05-10,50,False
