date,Rolladen reparieren,isPartial
2018-01-07,48,False
2018-01-14,31,False
2018-01-21,32,False
2018-01-28,47,False
2018-02-04,49,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,32,False
2018-03-04,65,False
2018-03-11,48,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,0,False
2018-04-08,65,False
2018-04-15,33,False
2018-04-22,47,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,31,False
2018-07-15,66,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,97,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,32,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,51,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,96,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,40,False
2019-01-13,30,False
2019-01-20,58,False
2019-01-27,39,False
2019-02-03,30,False
2019-02-10,30,False
2019-02-17,41,False
2019-02-24,62,False
2019-03-03,45,False
2019-03-10,30,False
2019-03-17,31,False
2019-03-24,46,False
2019-03-31,30,False
2019-04-07,31,False
2019-04-14,100,False
2019-04-21,49,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,30,False
2019-05-26,52,False
2019-06-02,60,False
2019-06-09,46,False
2019-06-16,73,False
2019-06-23,31,False
2019-06-30,46,False
2019-07-07,30,False
2019-07-14,64,False
2019-07-21,34,False
2019-07-28,33,False
2019-08-04,68,False
2019-08-11,48,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,76,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,60,False
2019-09-29,30,False
2019-10-06,45,False
2019-10-13,45,False
2019-10-20,30,False
2019-10-27,44,False
2019-11-03,0,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,56,False
2019-12-08,70,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,47,False
2020-01-05,28,False
2020-01-12,52,False
2020-01-19,41,False
2020-01-26,54,False
2020-02-02,27,False
2020-02-09,79,False
2020-02-16,41,False
2020-02-23,39,False
2020-03-01,53,False
2020-03-08,0,False
2020-03-15,33,False
2020-03-22,24,False
2020-03-29,61,False
2020-04-05,40,False
2020-04-12,34,False
2020-04-19,49,False
2020-04-26,40,False
2020-05-03,25,False
2020-05-10,0,False
