date,Entsorgung Bauschutt,isPartial
2018-01-07,39,False
2018-01-14,19,False
2018-01-21,39,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,20,False
2018-02-18,30,False
2018-02-25,20,False
2018-03-04,40,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,0,False
2018-04-01,21,False
2018-04-08,20,False
2018-04-15,20,False
2018-04-22,0,False
2018-04-29,41,False
2018-05-06,21,False
2018-05-13,0,False
2018-05-20,21,False
2018-05-27,39,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,19,False
2018-06-24,20,False
2018-07-01,19,False
2018-07-08,38,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,21,False
2018-08-19,51,False
2018-08-26,40,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,40,False
2018-09-23,20,False
2018-09-30,0,False
2018-10-07,20,False
2018-10-14,31,False
2018-10-21,20,False
2018-10-28,0,False
2018-11-04,19,False
2018-11-11,39,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,0,False
2018-12-09,38,False
2018-12-16,0,False
2018-12-23,22,False
2018-12-30,21,False
2019-01-06,18,False
2019-01-13,27,False
2019-01-20,0,False
2019-01-27,36,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,38,False
2019-03-03,0,False
2019-03-10,18,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,19,False
2019-04-07,32,False
2019-04-14,20,False
2019-04-21,100,False
2019-04-28,19,False
2019-05-05,18,False
2019-05-12,19,False
2019-05-19,19,False
2019-05-26,0,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,32,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,39,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,21,False
2019-08-11,30,False
2019-08-18,39,False
2019-08-25,19,False
2019-09-01,18,False
2019-09-08,0,False
2019-09-15,38,False
2019-09-22,0,False
2019-09-29,19,False
2019-10-06,0,False
2019-10-13,37,False
2019-10-20,19,False
2019-10-27,0,False
2019-11-03,17,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,17,False
2019-12-15,18,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,16,False
2020-01-19,17,False
2020-01-26,33,False
2020-02-02,0,False
2020-02-09,32,False
2020-02-16,22,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,22,False
2020-04-12,31,False
2020-04-19,36,False
2020-04-26,15,False
2020-05-03,30,False
2020-05-10,23,False
